Universe, creation|کائنات، تخلیق
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|جسمانی کائنات کا حوالہ دیتے ہوئے جنرل الفاظ کے لئے اس ڈومین کا استعمال کریں. کچھ زبانوں کائنات کے لئے ایک لفظ بھی نہیں سکتا ہے اور اس طرح اس طرح آپ کر سکتے ہیں &#39;ہر چیز کے طور پر&#39; بارش، مٹی، اور آسمان کی باتیں &#39;یا&#39; آسمان، زمین، اور پانی &#39;یا ایک وضاحتی جملہ کے طور پر ایک جملے استعمال کرنا پڑ سکتا ہے موجود ہے کہ &#39;یا&#39; سب کچھ &#39;کو دیکھنے کے.
(1) What words refer to everything we can see?|(1) ہم سب کچھ کرنے کے لئے کیا الفاظ کا حوالہ دیتے دیکھ سکتے ہیں؟
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|موجود ہے کہ کائنات، تخلیق، کائنات، آسمان و زمین، تربوون، سب کچھ
Sky|اسکائی
Use this domain for words related to the sky.|آسمان سے متعلقہ الفاظ کے لئے اس ڈومین کا استعمال کریں.
(1) What words are used to refer to the sky?|(1) کیا الفاظ آسمان سے رجوع کرنے کے لئے استعمال کر رہے ہیں؟
sky, firmament, canopy, vault|آسمان، آسمان، چھتری، تجوری
(2) What words refer to the air around the earth?|(2) کیا الفاظ زمین کے ارد گرد ہوا کا حوالہ دیتے ہیں؟
air, atmosphere, airspace, stratosphere, ozone layer|ایئر، ماحول، فضائی حدود، کرہ، وجون پرت
(3) What words are used to refer to the place or area beyond the sky?|(3) کیا الفاظ آسمان سے پرے جگہ یا علاقے کا حوالہ دیتے ہیں کے لئے استعمال کر رہے ہیں؟
heaven, space, outer space, ether, void, solar system|آسمان، خلا، بیرونی خلا، آسمان، باطل، نظام شمسی
(4) What words describe something in the sky or something that happens in the sky?|(4) کیا الفاظ آسمان میں ہوتا ہے کہ آسمان یا کچھ اور میں کچھ بیان کریں؟
aerial, heavenly, atmospheric, stratospheric, celestial,|، دوی،، فضائی آسمانی، وایمنڈلیی، stratospheric
(5) What words describe the appearance of the sky?|(5) کیا الفاظ آسمان کے ظہور کی وضاحت؟
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|نیلے رنگ، واضح، سیاہ (رات)، ابر آلود، بادل بھرے پڑے، شاندار، اندھیرے، رات آسمان، خطرے کی پیش بینی، طوفانی، تاریک، اسٹار studded کے
(6) What words refer to the edge of the sky where it meets the ground?|(6) کیا الفاظ زمین اس سے ملاقات کی جہاں آسمان کے کنارے کی طرف رجوع؟
horizon, skyline|افق، اسکائی لائن
(7) What words refer to something in the sky?|(7) کیا الفاظ آسمان میں کچھ کرنے کے لئے حوالہ دیتے ہیں؟
heavenly body, celestial body, luminary|آسمانی جسم، آسمانی جسم، luminary کی
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) کیا الفاظ شمالی (یا جنوبی) آسمان میں ظاہر ہونے والے روشنیوں کا حوالہ دیتے؟
aurora borealis, northern lights|ورورا borealis کے، شمالی لائٹس
(9) What words refer to something being in the sky?|(9) کیا الفاظ آسمان میں ہونے کی وجہ سے کسی چیز کا حوالہ دیتے ہیں؟
aloft, up in the sky, up in the air,|والی الوفٹ، اپ آسمان میں، ہوا میں،
Sun|اتوار
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|سورج سے متعلق الفاظ کے لئے اس ڈومین کا استعمال کریں. سورج تین بنیادی باتیں کرتا ہے. یہ روشنی دیتا ہے، چلتا ہے، اور یہ گرمی دیتا ہے. یہ تینوں اعمال اس ڈومین میں الفاظ کی سب سے زیادہ کے معانی میں ملوث ہیں. سورج افق کے نیچے چلتا ہے کے بعد سے، بہت سے الفاظ یہ قائم کرنے یا بڑھتی ہوئی کرنے کے لئے رجوع. سورج بادلوں کے اوپر ہے کے بعد سے، بہت سے الفاظ بادلوں اور اس کی روشنی کو مسدود کرنے میں بادلوں کے پیچھے آگے بڑھ رہے ہیں اس سے رجوع. سورج کی روشنی اور گرمی بھی ثانوی اثرات پیدا. سورج پودوں بڑھنے کا سبب بنتا ہے، اور یہ چیزیں کو پہنچنے والے نقصان کا سبب بنتا ہے.
(1) What words refer to the sun?|(1) کیا الفاظ سورج کا حوالہ دیتے ہیں؟
sun, solar, sol, daystar, our star|سورج، شمسی، سورج، سورج، ہمارے سٹار
