Universe, creation|Univers, la création
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Utilisez ce domaine pour les termes généraux se rapportant à l&#39;univers physique. Certaines langues peuvent ne pas avoir un seul mot pour l&#39;univers et peuvent avoir à utiliser une phrase telle que «la pluie, le sol, et les choses du ciel» ou «ciel, la terre et l&#39;eau» ou une phrase descriptive tels que tout », vous pouvez tout voir »ou« ce qui existe ».
(1) What words refer to everything we can see?|(1) Quels mots se réfèrent à tout ce que nous pouvons voir?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|univers, création, cosmos, le ciel et la terre, le macrocosme, tout ce qui existe
Sky|Ciel
Use this domain for words related to the sky.|Utilisez ce domaine pour les mots liés au ciel.
(1) What words are used to refer to the sky?|(1) Quels mots sont utilisés pour désigner le ciel?
sky, firmament, canopy, vault|ciel, ciel, couvert, voûte
(2) What words refer to the air around the earth?|(2) Quels mots se réfèrent à l&#39;air autour de la terre?
air, atmosphere, airspace, stratosphere, ozone layer|l&#39;air, l&#39;atmosphère, l&#39;espace aérien, la stratosphère, la couche d&#39;ozone
(3) What words are used to refer to the place or area beyond the sky?|(3) Quels mots sont utilisés pour désigner le lieu ou la zone au-delà du ciel?
heaven, space, outer space, ether, void, solar system|le ciel, l&#39;espace, l&#39;espace, l&#39;éther, le système vide, l&#39;énergie solaire
(4) What words describe something in the sky or something that happens in the sky?|(4) Quels mots décrivent quelque chose dans le ciel ou quelque chose qui se passe dans le ciel?
aerial, heavenly, atmospheric, stratospheric, celestial,|aérien, céleste, atmosphérique, stratosphérique, céleste,
(5) What words describe the appearance of the sky?|(5) Quels mots décrivent l&#39;aspect du ciel?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|bleu, clair, noir (nuit), nuageux, nuage rempli, brillant, sombre, ciel de la nuit, pressentiment, orageux, sombre, étoilé
(6) What words refer to the edge of the sky where it meets the ground?|(6) Quels mots se réfèrent au bord du ciel où elle rencontre le sol?
horizon, skyline|horizon, horizon
(7) What words refer to something in the sky?|(7) Quels mots se réfèrent à quelque chose dans le ciel?
heavenly body, celestial body, luminary|corps céleste, corps céleste, luminaire
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Quels mots se réfèrent aux lumières qui apparaissent dans le nord (ou sud) ciel?
aurora borealis, northern lights|aurores boréales, les aurores boréales
(9) What words refer to something being in the sky?|(9) Quels mots se réfèrent à quelque chose qui est dans le ciel?
aloft, up in the sky, up in the air,|en haut, dans le ciel, en l&#39;air,
Sun|Soleil
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Utilisez ce domaine pour les mots liés au soleil. Le soleil fait trois choses de base. Il se déplace, il donne de la lumière, et il donne de la chaleur. Ces trois actions sont impliquées dans le sens de la plupart des mots dans ce domaine. Comme le soleil se déplace en dessous de l&#39;horizon, de nombreux mots se réfèrent à lui fixer ou à la hausse. Comme le soleil est au-dessus des nuages, de nombreux mots se réfèrent à lui déplacer derrière les nuages ​​et les nuages ​​bloquant sa lumière. La lumière et la chaleur du soleil produisent aussi des effets secondaires. Le soleil provoque plantes de pousser, et il cause des dommages aux choses.
(1) What words refer to the sun?|(1) Quels mots se réfèrent au soleil?
sun, solar, sol, daystar, our star|le soleil, solaire, sol, Daystar, notre étoile
