Universe, creation|ວິ​ທະ​ຍາ​ໄລ​, ການ​ສ້າງ
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ການ​ນໍາ​ໃຊ້​ໂດ​ເມນ​, ສໍາ​ລັບ​ຄໍາ​ສັບ​ທົ່ວ​ໄປ​ໂດຍ​ອ້າງ​ອີງ​ໃສ່​ວິ​ທະ​ຍາ​ໄລ​ທາງ​ດ້ານ​ຮ່າງ​ກາຍ​. ພາ​ສາ​ບາງ​ຄົນ​ອາດ​ຈະ​ບໍ່​ມີ​ຄໍາ​ດຽວ​ສໍາ​ລັບ​ການ​ຈັກ​ກະ​ວານ​ແລະ​ອາດ​ຈະ​ມີ​ການ​ນໍາ​ໃຊ້​ປະ​ໂຫຍກ​ເຊັ່ນ​: &quot;ຝົນ​ຕົກ​ຫນັກ​, ດິນ​, ແລະ​ສິ່ງ​ຂອງ​ຂອງ​ເຄົ້າ​ໄດ້ &#39;ຫຼື​&#39; ເຄົ້າ​, ທີ່​ດິນ​ແລະ​ນ​້​ໍ​າ​ຫຼື​ວະ​ລີ​ທີ່​ອະ​ທິ​ບາຍ​ເຊັ່ນ &#39;ທຸກ​ສິ່ງ​ທຸກ​ຢ່າງ​ທີ່​ທ່ານ​ສາ​ມາດ​ເຮັດ​ໄດ້ ເບິ່ງ &#39;ຫຼື​&#39; ທຸກ​ສິ່ງ​ທຸກ​ຢ່າງ​ທີ່​ມີ​ຢູ່​.
(1) What words refer to everything we can see?|(1​) ຄໍາ​ສັບ​ເອ​ກະ​ສານ​ກັບ​ທຸກ​ສິ່ງ​ທຸກ​ຢ່າງ​ທີ່​ພວກ​ເຮົາ​ສາ​ມາດ​ເບິ່ງ​?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|ຈັກ​ກະ​ວານ​, ການ​ສ້າງ​, ການ cosmos ສະ​ຫວັນ​ແລະ​ແຜ່ນ​ດິນ​ໂລກ​, ກົນ​, ທຸກ​ສິ່ງ​ທຸກ​ຢ່າງ​ທີ່​ລາ​ຄາ​:
Sky|ເຄົ້າ
Use this domain for words related to the sky.|ການ​ນໍາ​ໃຊ້​ໂດ​ເມນ​, ສໍາ​ລັບ​ຄໍາ​ສັບ​ຕ່າງໆ​ທີ່​ກ່ຽວ​ຂ້ອງ​ກັບ​ການ​ເຄົ້າ​.
(1) What words are used to refer to the sky?|(1​) ຄໍາ​ໃດ​ຖືກ​ນໍາ​ໃຊ້​ເພື່ອ​ສົ່ງ​ກັບ​ເຄົ້າ​ໄດ້​?
sky, firmament, canopy, vault|ເຄົ້າ​, ທ້ອງ​ຟ້າ​, ເຮືອນ​ຍອດ vault​,
(2) What words refer to the air around the earth?|(2​) ຄໍາ​ໃດ​ອ້າງ​ເຖິງ​ອາ​ກາດ​ປະ​ມານ​ແຜ່ນ​ດິນ​ໂລກ​ໄດ້​ແນວ​ໃດ​?
air, atmosphere, airspace, stratosphere, ozone layer|ອາ​ກາດ​, ບັນ​ຍາ​ກາດ​, airspace​, stratosphere​, ຊັ້ນ​ໂອ​ໂຊນ
(3) What words are used to refer to the place or area beyond the sky?|(3​) ຄໍາ​ໃດ​ຖືກ​ນໍາ​ໃຊ້​ເພື່ອ​ສົ່ງ​ກັບ​ສະ​ຖານ​ທີ່​ຫຼື​ພື້ນ​ທີ່​ນອກ​ເຫນືອ​ເຄົ້າ​?
heaven, space, outer space, ether, void, solar system|ສະ​ຫວັນ​, ຊ່ອງ​, ພື້ນ​ທີ່​ນອກ​, ether​, void​, ລະ​ບົບ​ການ​ແສງ​ຕາ​ເວັນ
(4) What words describe something in the sky or something that happens in the sky?|(4​) ຄໍາ​ອະ​ທິ​ບາຍ​ເປັນ​ແນວ​ໃດ​ບາງ​ສິ່ງ​ບາງ​ຢ່າງ​ໃນ​ທ້ອງ​ຟ້າ​ຫລື​ບາງ​ສິ່ງ​ບາງ​ຢ່າງ​ທີ່​ເກີດ​ຂຶ້ນ​ໃນ​ເຄົ້າ​ໄດ້​?
aerial, heavenly, atmospheric, stratospheric, celestial,|ທາງ​ອາ​ກາດ​, ສະ​ຫວັນ​, ບັນ​ຍາ​ກາດ​, stratospheric​, ຊັ້ນ​ສູງ​,
(5) What words describe the appearance of the sky?|(5​) ຄໍາ​ອະ​ທິ​ບາຍ​ສິ່ງ​ທີ່​ຮູບ​ລັກ​ສະ​ນະ​ຂອງ​ເຄົ້າ​ໄດ້​?
