Universe, creation|Univers, creația
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Utilizați acest domeniu pentru cuvinte generale referitoare la universul fizic. Unele limbi nu poate avea un singur cuvânt pentru univers și ar putea să utilizeze o expresie, cum ar fi &quot;ploaie, sol, și lucrurile cerului&quot; sau &quot;cer, pământ și apă&quot; sau o frază descriptiv, cum ar fi &quot;tot ce se poate vezi &quot;sau&quot; tot ceea ce există &quot;.
(1) What words refer to everything we can see?|(1) Ce cuvinte se referă la tot ceea ce se poate vedea?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|univers, creația, cosmos, cerul și pământul, macrocosm, tot ceea ce exista
Sky|Cer
Use this domain for words related to the sky.|Utilizați acest domeniu pentru cuvinte legate de cer.
(1) What words are used to refer to the sky?|(1) ce cuvinte sunt folosite pentru a desemna cer?
sky, firmament, canopy, vault|cer, cer, baldachin, bolta
(2) What words refer to the air around the earth?|(2) Ce cuvinte se referă la aerul din jurul pământului?
air, atmosphere, airspace, stratosphere, ozone layer|aer, atmosfera, spațiul aerian, stratosferă, stratul de ozon
(3) What words are used to refer to the place or area beyond the sky?|(3) ce cuvinte sunt folosite pentru a se referi la locul sau zona de dincolo de cer?
heaven, space, outer space, ether, void, solar system|cer, spatiu, spatiul cosmic, eter, sistem nule, solar
(4) What words describe something in the sky or something that happens in the sky?|(4) Ce cuvinte descriu ceva pe cer sau ceva care se întâmplă în cer?
aerial, heavenly, atmospheric, stratospheric, celestial,|aerian, ceresc, atmosferic, stratosferic, ceresc,
(5) What words describe the appearance of the sky?|(5) Ce cuvinte descriu apariția cer?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|albastru, limpede, negru (noapte), tulbure, norul a umplut, genial, întuneric, cer de noapte, prevestire, furtună, întuneric, staruri
(6) What words refer to the edge of the sky where it meets the ground?|(6) Ce cuvinte se referă la marginea cerului, unde se întâlnește la sol?
horizon, skyline|orizont, orizont
(7) What words refer to something in the sky?|(7) Ce cuvinte se referă la ceva pe cer?
heavenly body, celestial body, luminary|corp ceresc, corp ceresc, astru
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Ce cuvinte se referă la luminile care apar în nordul (sau sud) cer?
aurora borealis, northern lights|aurora boreala, lumini de nord
(9) What words refer to something being in the sky?|(9) Ce cuvinte se referă la ceva fiind în cer?
aloft, up in the sky, up in the air,|sus, în cer, în aer,
Sun|Soare
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Utilizați acest domeniu pentru cuvinte legate de soare. Soarele face trei lucruri de bază. Se mișcă, dă lumină și dă căldură. Aceste trei acțiuni sunt implicate în semnificațiile majoritatea cuvintele din acest domeniu. Deoarece soarele se mișcă sub orizont, multe cuvinte se referă la o setare sau în creștere. Deoarece soarele este deasupra norilor, multe cuvinte se referă la o mișcare în spatele norilor și norii blochează lumina. Lumina soarelui și de căldură de asemenea, produce efecte secundare. Soarele produce plante să crească, și provoacă daune lucruri.
(1) What words refer to the sun?|(1) Ce cuvinte se referă la soare?
sun, solar, sol, daystar, our star|soare, solar, sol, Daystar, steaua noastra
