Universe, creation|Universum, skapelse
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Använd detta område för allmän ord som refererar till det fysiska universum. Vissa språk kanske inte har ett enda ord för universum och kan komma att använda en fras som &quot;regn, jord, och saker av himlen&quot; eller &quot;himmel, jord och vatten&quot; eller en beskrivande fras som &quot;allt du kan se &quot;eller&quot; allt som existerar &quot;.
(1) What words refer to everything we can see?|(1) Vilka ord hänvisar till allt vi kan se?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universum, skapelse, kosmos, himmel och jord, makrokosmos, allt som existerar
Sky|Sky
Use this domain for words related to the sky.|Använd detta område för ord relaterade till himlen.
(1) What words are used to refer to the sky?|(1) Vilka ord används för att hänvisa till himlen?
sky, firmament, canopy, vault|sky, firmament, kapell, valv
(2) What words refer to the air around the earth?|(2) Vilka ord hänvisar till luften runt jorden?
air, atmosphere, airspace, stratosphere, ozone layer|luft, atmosfären, luftrum, stratosfär, ozonskiktet
(3) What words are used to refer to the place or area beyond the sky?|(3) Vilka ord används för att hänvisa till den plats eller område bortom himlen?
heaven, space, outer space, ether, void, solar system|himmel, utrymme, yttre rymden, eter, tomrum, solsystem
(4) What words describe something in the sky or something that happens in the sky?|(4) Vilka ord beskriva något i himlen eller något som händer i himlen?
aerial, heavenly, atmospheric, stratospheric, celestial,|antenn, heavenly, atmosfäriskt, stratosfären, himmelskt,
(5) What words describe the appearance of the sky?|(5) Vilka ord beskriver utseendet på himlen?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blå, fri, svart (natt), molnigt, moln fyllda, lysande, mörk, natthimlen, förebud, stormig, mörk, stjärnspäckade
(6) What words refer to the edge of the sky where it meets the ground?|(6) Vilka ord hänvisar till kanten av himlen där den möter marken?
horizon, skyline|horisont, horisont
(7) What words refer to something in the sky?|(7) Vilka ord hänvisar till något i himlen?
heavenly body, celestial body, luminary|himlakropp, himlakropp, celebritet
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Vilka ord hänvisar till lampor som visas i den norra (eller södra) himlen?
aurora borealis, northern lights|aurora borealis, norrsken
(9) What words refer to something being in the sky?|(9) Vilka ord hänvisar till något som i himlen?
aloft, up in the sky, up in the air,|väders, upp i himlen, upp i luften,
Sun|Sol
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Använd detta område för ord relaterade till solen. Solen gör tre grundläggande saker. Den rör sig, så att den lyser, och det ger värme. Dessa tre åtgärder är involverade i betydelserna för de flesta av orden i detta område. Eftersom solen rör sig under horisonten, många ord hänvisar till den inställning eller stigande. Eftersom solen är ovanför molnen, många ord hänvisar till det rör sig bakom molnen och molnen blockerar dess ljus. Solens ljus och värme producerar också sekundära effekter. Solen orsakar växterna att växa, och det orsakar skada på saker.
(1) What words refer to the sun?|(1) Vilka ord hänvisar till solen?
sun, solar, sol, daystar, our star|sol, sol, sol, daystar, vår stjärna
