Universe, creation|Universo, kreo
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Uzu ĉi domajno por ĝeneralaj vortoj raportante al la fizika universo. Iuj lingvoj ne havas unu vorton por la universo kaj povas uzi frazon kiel &#39;pluvo, grundo, kaj aferoj de la ĉielo&#39; aŭ &#39;ĉielo, tero, kaj akvo&#39; aŭ priskriban frazon kiel &#39;ĉiu povas vidi &#39;aŭ&#39; ĉio kio ekzistas &#39;.
(1) What words refer to everything we can see?|(1) Kion vortoj referi al ĉiu kion ni povas vidi?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universo, kreo, kosmo, ĉielo kaj tero, makrokosmo, ĉio, kio ekzistas
Sky|Ĉielo
Use this domain for words related to the sky.|Uzu ĉi havaĵo pro vortoj rilataj al la ĉielo.
(1) What words are used to refer to the sky?|(1) Kio vortojn uzas por referi al la ĉielo?
sky, firmament, canopy, vault|ĉielo, firmamento, kanopeo, volbo
(2) What words refer to the air around the earth?|(2) Kion vortoj aludas al la aero ĉirkaŭ la tero?
air, atmosphere, airspace, stratosphere, ozone layer|aero, atmosfero, aera spaco, stratosfero, ozono tavolo
(3) What words are used to refer to the place or area beyond the sky?|(3) Kion vortoj estas uzataj por nomi la lokon aŭ areon preter la ĉielo?
heaven, space, outer space, ether, void, solar system|cxielo, spaco, kosma spaco, etero, void, sunsistemo
(4) What words describe something in the sky or something that happens in the sky?|(4) Kion vortoj priskribi ion en la ĉielo aŭ iu kiu okazas en la ĉielo?
aerial, heavenly, atmospheric, stratospheric, celestial,|aera, ĉiela, atmosfera, estratosféricas, celeste,
(5) What words describe the appearance of the sky?|(5) Kion vortoj priskribi la aspekton de la ĉielo?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blua, klara, nigra (nokta), nebula, nubo plenigis, brila, malhela, nokto ĉielo, atendado, tempesta, malluma, stelo garnitan
(6) What words refer to the edge of the sky where it meets the ground?|(6) Kion vortoj aludas al la rando de la ĉielo kiam ĝi trafas la teron?
horizon, skyline|horizonto, Skyline
(7) What words refer to something in the sky?|(7) Kion vortoj aludas al io en la ĉielo?
heavenly body, celestial body, luminary|ĉiela korpo, korpo celeste, lumajxon
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Kion vortoj aludas al la lumoj kiuj aperas en la norda (aŭ suda) ĉielo?
aurora borealis, northern lights|aŭroro boreala, norda lumoj
(9) What words refer to something being in the sky?|(9) Kion vortoj aludas al io esti en la ĉielo?
aloft, up in the sky, up in the air,|supren, supre en la ĉielo, en la aero,
Sun|Suno
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Uzu ĉi havaĵo pro vortoj rilataj al la suno. La suno faras tri bazajn aferojn. Ĝi movas, ĝi lumas, kaj ĝi donas varmegon. Tiuj tri agoj estas implikitaj en la signifoj de la plejparto de la vortoj en tiu ĉi domajno. Ekde la suno movas sub la horizonto, multaj vortoj referi al ĝi opcio aŭ radioj. Ekde la suno estas super la nuboj, multaj vortoj referi al ĝi movante malantaŭ la nuboj kaj la nuboj blokante lia lumo. La sunlumo kaj varmo ankaŭ produktas malĉefajn efektojn. La suno kaŭzas plantojn kreski, kaj ĝi kaŭzas damaĝas tion.
(1) What words refer to the sun?|(1) Kion vortoj aludas al la suno?
sun, solar, sol, daystar, our star|suno, suna, sol, Daystar, nia stelo
