Universe, creation|Alam semesta, penciptaan
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Gunakan domain ini untuk perkataan umum merujuk kepada alam semesta fizikal. Sesetengah bahasa mungkin tidak mempunyai satu perkataan pun untuk alam semesta dan mungkin perlu menggunakan frasa seperti &#39;hujan, tanah, dan perkara-perkara dari langit&#39; atau &#39;langit, tanah, dan air&#39; atau frasa deskriptif seperti &#39;semua yang anda boleh lihat &#39;atau&#39; setiap benda yang wujud.
(1) What words refer to everything we can see?|(1) Apakah perkataan rujuk dengan semua yang kita dapat lihat?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|alam semesta, penciptaan, alam semesta, langit dan bumi, makrokosmos, segala-galanya yang wujud
Sky|Sky
Use this domain for words related to the sky.|Gunakan domain ini untuk perkataan yang berkaitan dengan langit.
(1) What words are used to refer to the sky?|(1) Apakah perkataan yang digunakan untuk merujuk kepada langit?
sky, firmament, canopy, vault|langit, cakrawala, kanopi, peti besi
(2) What words refer to the air around the earth?|(2) Apakah perkataan merujuk kepada udara yang mengelilingi bumi?
air, atmosphere, airspace, stratosphere, ozone layer|udara, suasana, ruang udara, stratosfera, lapisan ozon
(3) What words are used to refer to the place or area beyond the sky?|(3) Apakah perkataan yang digunakan untuk merujuk kepada tempat atau kawasan di luar langit?
heaven, space, outer space, ether, void, solar system|langit, ruang, angkasa lepas, eter, tidak sah, sistem solar
(4) What words describe something in the sky or something that happens in the sky?|(4) Apakah perkataan menggambarkan sesuatu di langit atau sesuatu yang terjadi di langit?
aerial, heavenly, atmospheric, stratospheric, celestial,|udara, syurga, atmosfera, stratosfera, angkasa,
(5) What words describe the appearance of the sky?|(5) Apakah perkataan menggambarkan rupa langit?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|biru, jelas, hitam (malam), mendung, awan diisi, cemerlang, gelap, malam langit, firasat, ribut, gelap, bintang disemat
(6) What words refer to the edge of the sky where it meets the ground?|(6) Apakah perkataan merujuk kepada pinggir langit di mana ia memenuhi tanah?
horizon, skyline|ufuk, latar langit
(7) What words refer to something in the sky?|(7) Apakah perkataan merujuk kepada sesuatu yang di langit?
heavenly body, celestial body, luminary|badan syurga, badan cakerawala, termasyhur
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Apakah perkataan merujuk kepada lampu yang muncul di utara (atau selatan) langit?
aurora borealis, northern lights|aurora borealis, cahaya utara
(9) What words refer to something being in the sky?|(9) Apakah perkataan merujuk kepada sesuatu yang berada di langit?
aloft, up in the sky, up in the air,|Panji, di langit, di udara,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Gunakan domain ini untuk perkataan yang berkaitan dengan matahari. Matahari tidak tiga perkara asas. Ia bergerak, ia memberikan cahaya, dan ia memberikan haba. Ketiga-tiga tindakan yang terlibat dalam makna kebanyakan perkataan dalam domain ini. Sejak matahari bergerak di bawah kaki langit, banyak perkataan merujuk kepadanya menetapkan atau meningkat. Oleh kerana matahari berada di atas awan, banyak perkataan merujuk kepadanya bergerak di belakang awan dan awan menyekat cahayanya. Cahaya matahari dan haba juga menghasilkan kesan menengah. Matahari menyebabkan tumbuh-tumbuhan berkembang, dan ia menyebabkan kerosakan kepada sesuatu.
(1) What words refer to the sun?|(1) Apakah perkataan merujuk kepada matahari?
sun, solar, sol, daystar, our star|matahari, solar, sol, daystar, bintang kami
