Universe, creation|Universe yaradılması
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Fiziki kainatın istinad ümumi sözlər üçün bu domen istifadə edin. Bəzi dillər kainat üçün tək bir söz ola bilər və belə siz &quot;hər şey kimi yağış, torpaq, və göy hər şeyi &#39;və ya&#39; göy, torpaq, su və ya bir təsviri söz kimi bir söz istifadə edə bilər mövcuddur &#39;və ya&#39; hər şeyi görmək.
(1) What words refer to everything we can see?|(1) biz hər şeyə hansı sözləri həvalə edin bilərsiniz?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|mövcud kainatın yaradılması, kosmos, göylərin və yerin, evren, hər şey
Sky|Göy
Use this domain for words related to the sky.|Göy bağlı sözləri bu domen istifadə edin.
(1) What words are used to refer to the sky?|(1) hansı sözləri göyə istinad üçün istifadə olunur?
sky, firmament, canopy, vault|göy, səma, tavan, vault
(2) What words refer to the air around the earth?|(2) hansı sözləri yerin ətrafında hava müraciət?
air, atmosphere, airspace, stratosphere, ozone layer|hava, atmosfer, hava, stratosfer, ozon qatı
(3) What words are used to refer to the place or area beyond the sky?|(3) hansı sözləri göy kənarda yer və ya sahəsi istinad üçün istifadə olunur?
heaven, space, outer space, ether, void, solar system|göy, yer, kosmosa, efir, etibarsız, günəş sistemi
(4) What words describe something in the sky or something that happens in the sky?|(4) hansı sözləri göy baş göy və ya bir şey bir şey təsvir?
aerial, heavenly, atmospheric, stratospheric, celestial,|, göy, hava səma, atmosfer, stratospheric
(5) What words describe the appearance of the sky?|(5) hansı sözləri Göyün görünüşünü təsvir?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|mavi, açıq-aydın, qara (gecə), buludlu, bulud dolu, parlaq, qaranlıq, gecə göy, foreboding, fırtınalı, qaranlıq, ulduz sayı hesabı
(6) What words refer to the edge of the sky where it meets the ground?|(6) hansı sözləri yerə onu görüşüb göy kənarında müraciət?
horizon, skyline|horizon, skyline
(7) What words refer to something in the sky?|(7) hansı sözləri göy şey baxın?
heavenly body, celestial body, luminary|İnanılmaz Bədən, göy bədən, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) hansı sözləri şimal (və ya cənub) göy görünür işıqlar müraciət?
aurora borealis, northern lights|Aurora Borealis, şimal işıqları
(9) What words refer to something being in the sky?|(9) hansı sözləri göy olan bir şey müraciət?
aloft, up in the sky, up in the air,|aloft, göy, hava qədər,
Sun|Günəş
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Günəş ilə bağlı sözlər üçün bu domen istifadə edin. günəş üç əsas şey yoxdur. Bu işıq verir, hərəkət, və istilik verir. Bu üç tədbirlər bu sahədə sözlərin ən mənaları cəlb olunur. Günəş üfüqdə aşağıda hərəkət ildən, bir çox sözlər qəbulu və ya yüksələn baxın. Günəş bulud yuxarıda olduğundan, çox söz bulud və işıq blok bulud arxasında hərəkət ona baxın. günəş işıq və istilik də orta təsiri istehsal. günəş bitkilər bitir səbəb olur, və bu şeyi zərər səbəb olur.
(1) What words refer to the sun?|(1) hansı sözləri günəş müraciət?
sun, solar, sol, daystar, our star|günəş, günəş, günəş, Daystar bizim ulduz
