Universe, creation|Bokahohle, pōpo
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Sebelisa Domain bakeng sa mantswe ka kakaretso ka a bua ka bokahohle bo bonahalang bo. Lipuo tse ling ka &#39;na se na lentsoe le le leng bakeng sa bokahohle le ka&#39; na ho sebelisa poleloana e reng tse kang &#39;pula, mobu, le lintho tsa sepakapakeng&#39; kapa &#39;legodimong, naheng,&#39; me metsi &#39;kapa le hlalosang poleloana e reng tse kang&#39; tsohle u ka se khonang bona &#39;kapa&#39; tsohle tse teng &#39;.
(1) What words refer to everything we can see?|(1) Ke mantsoe afe a bua ka ho tsohle re ka bona?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|bokahohle, pōpo, bokahohleng bo hlophisehileng bo, leholimo le lefatše, macrocosm, lintho tsohle e teng
Sky|Sky
Use this domain for words related to the sky.|Sebelisa Domain bakeng sa mantsoe a tse amanang le ho sepakapakeng.
(1) What words are used to refer to the sky?|(1) Ke mantsoe afe a li sebelisetsoa ho bua ka leholimong?
sky, firmament, canopy, vault|legodimong, firmament, canopy, Vault
(2) What words refer to the air around the earth?|(2) Ke mantsoe afe a bua ka moea ho pota lefatše?
air, atmosphere, airspace, stratosphere, ozone layer|moea, sepakapaka airspace, stratosphere, e lera la ozone le
(3) What words are used to refer to the place or area beyond the sky?|(3) Ke mantsoe afe a li sebelisetsoa ho bua ka habité kapa sebakeng ka nģ&#39;ane ho leholimong?
heaven, space, outer space, ether, void, solar system|leholimong, sebaka, le sepakapakeng, le ketone, hlokisa, sa potoloho ea lipolanete
(4) What words describe something in the sky or something that happens in the sky?|(4) Ke mantsoe afe a hlalosa ntho e &#39;ngoe a sepakapakeng kapa ntho e&#39; ngoe seo se etsahala a leholimong?
aerial, heavenly, atmospheric, stratospheric, celestial,|teleskopbomlift, oa leholimo, sepakapakeng, stratospheric, ea leholimo,
(5) What words describe the appearance of the sky?|(5) Ke mantsoe afe a hlalosa ponahalo ea leholimong?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|bopotswa, hlakileng, batho ba batsho (bosiu), a koahetsoeng ke, leru ho kwalwa, phatsima, lefifi, sepakapakeng bosiu, bolelang esale pele, sefefo, lefifi, naleli studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Ke mantsoe afe a a bua ka bohale ba sepakapakeng moo ho kopana le fatše?
horizon, skyline|fellang teng, Skyline
(7) What words refer to something in the sky?|(7) Ke mantsoe afe a a bua ka ho hong ka leholimong?
heavenly body, celestial body, luminary|oa leholimo &#39;mele, lihloliloeng tsa leholimo, mohloli oa leseli
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Ke mantsoe afe a bua ka mabone ao hlaha ka ka leboea (kapa karolong e ka boroa) leholimong?
aurora borealis, northern lights|Aurora boreale, ka leboea mabone
(9) What words refer to something being in the sky?|(9) Ke mantsoe afe a a bua ka ntho e &#39;ngoe ho ba leholimong?
aloft, up in the sky, up in the air,|aloft, e hare ho legodimong, e hare ho moea,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Sebelisa Domain bakeng sa mantsoe a tse amanang le ho letsatsi. Letsatsi etsang tse tharo lintho tsa motheo. E susumelletsa, e fana ka leseli, le e fana ka mocheso. Tsena tse tharo liketso ba amehang a le ditlhaloso tse eo boholo ba mantsoe a Domain. Kaha letsatsi susumelletsa ka tlase ho fellang teng, mantsoe a mangata a bua ka e ho beha kapa bochaba-. Kaha letsatsi le ka holimo ho maru, mantsoe a mangata a bua ka e ho fallela ka mor&#39;a latela maru le maru thibela leseli la oona. Letsatsi leseli la le mocheso boetse hlahisa bobedi liphello. Letsatsi etsa hore limela ho hōla, &#39;me e etsa hore tšenyo e ho lintho.
(1) What words refer to the sun?|(1) Ke mantsoe afe a a bua ka letsatsi?
sun, solar, sol, daystar, our star|letsatsi, letsatsi, Sol, naleli ea meso, rona naleli
