Universe, creation|Universo, criação
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Utilize este domínio para palavras gerais referentes ao universo físico. Alguns idiomas podem não ter uma única palavra para o universo e pode ter que usar uma frase como &#39;chuva, solo e coisas do céu &quot;ou&quot; céu, terra e água &quot;ou uma frase descritiva, como&quot; tudo o que puder ver &quot;ou&quot; tudo o que existe &quot;.
(1) What words refer to everything we can see?|(1) Que palavras se referem a tudo o que podemos ver?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universo, criação, cosmos, céu e terra, macrocosmo, tudo o que existe
Sky|Céu
Use this domain for words related to the sky.|Utilize este domínio para palavras relacionadas com o céu.
(1) What words are used to refer to the sky?|(1) O palavras são utilizadas para referir o céu?
sky, firmament, canopy, vault|céu, firmamento, dossel, abóbada
(2) What words refer to the air around the earth?|(2) Que palavras referem-se ao ar à volta da Terra?
air, atmosphere, airspace, stratosphere, ozone layer|ar, atmosfera, espaço aéreo, estratosfera, camada de ozônio
(3) What words are used to refer to the place or area beyond the sky?|(3) Que palavras são usadas para se referir a um local ou área além do céu?
heaven, space, outer space, ether, void, solar system|céu, espaço, o espaço, éter, sistema de vazios, solar
(4) What words describe something in the sky or something that happens in the sky?|(4) Que palavras descrevem algo no céu ou algo que acontece no céu?
aerial, heavenly, atmospheric, stratospheric, celestial,|aéreo, celestial, atmosférico, estratosférico, celestial,
(5) What words describe the appearance of the sky?|(5) Que palavras descrevem o aspecto do céu?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|azul, claro, preto (noite), nublado, nuvem encheu, brilhante, escuro, céu noturno, pressentimento, tormentoso, escuro, estrela cravejada
(6) What words refer to the edge of the sky where it meets the ground?|(6) Que palavras referem-se à beira do céu onde se encontra com o solo?
horizon, skyline|horizonte, skyline
(7) What words refer to something in the sky?|(7) O que palavras se referem a algo no céu?
heavenly body, celestial body, luminary|corpo celestial, corpo celeste, luminar
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) O que as palavras se referem às luzes que aparecem no céu do norte (ou sul)?
aurora borealis, northern lights|aurora boreal, aurora boreal
(9) What words refer to something being in the sky?|(9) O que as palavras se referem a algo estar no céu?
aloft, up in the sky, up in the air,|no alto, no céu, no ar,
Sun|Sol
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Utilize este domínio para palavras relacionadas ao sol. O sol faz três coisas básicas. Ela se move, dá luz e dá calor. Estas três acções estão envolvidos nos significados de a maioria das palavras neste domínio. Uma vez que o sol se move abaixo do horizonte, muitas palavras se referem a ele nascendo ou se pondo. Desde que o sol está acima das nuvens, muitas palavras se referem a ele move-se atrás das nuvens e as nuvens que bloqueiam a luz. A luz do sol e calor também produzem efeitos secundários. O sol faz com que as plantas a crescer, e que provoca danos às coisas.
(1) What words refer to the sun?|(1) Que palavras referem-se ao sol?
sun, solar, sol, daystar, our star|sol, solar, sol, daystar, nossa estrela
