Universe, creation|Linivè, kreyasyon
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Sèvi ak domèn sa a pou mo jeneral refere li a linivè a fizik. Gen kèk lang ka pa gen yon mo sèl pou linivè a epi yo ka gen yo sèvi ak yon fraz tankou &#39;lapli, tè, ak bagay sa yo nan syèl la&#39; oswa &#39;syèl, tè, ak dlo&#39; oswa yon fraz deskriptif tankou &#39;tout sa ou kapab wè &#39;oswa&#39; tout bagay ki egziste &#39;.
(1) What words refer to everything we can see?|(1) Ki sa pawòl al gade nan tout sa nou ka wè?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|linivè, kreyasyon, Cosmos, syèl la ak latè, makrokosm, tout bagay ki egziste
Sky|Syèl
Use this domain for words related to the sky.|Sèvi ak domèn sa a pou mo ki gen rapò ak syèl la.
(1) What words are used to refer to the sky?|(1) Ki sa mo yo itilize, al gade nan syèl la?
sky, firmament, canopy, vault|syèl, vout, canopy, vout
(2) What words refer to the air around the earth?|(2) Ki sa pawòl, al gade nan lè a alantou tè a?
air, atmosphere, airspace, stratosphere, ozone layer|lè, atmosfè, espas aeryen, stratosfè, kouch ozòn
(3) What words are used to refer to the place or area beyond the sky?|(3) Ki sa ki mo yo itilize, al gade nan plas la oswa nan yon zòn pi lwen pase syèl la?
heaven, space, outer space, ether, void, solar system|syèl la, espas, espas eksteryè, Etè, anile, sistèm solè
(4) What words describe something in the sky or something that happens in the sky?|(4) Ki sa pawòl dekri yon bagay nan syèl la oswa yon bagay ki k ap pase nan syèl la?
aerial, heavenly, atmospheric, stratospheric, celestial,|ayeryen, ki nan syèl la, atmosferik, stratosfèr, selès,
(5) What words describe the appearance of the sky?|(5) Ki sa pawòl dekri aparans nan syèl la?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|ble, klè, nwa (mitan lannwit), twoub, nwaj ki te ranpli, briyan, fè nwa, syèl lannwit, premonisyon, tan, fè nwa, zetwal kloure
(6) What words refer to the edge of the sky where it meets the ground?|(6) Ki sa pawòl, al gade nan kwen an nan syèl la kote li satisfè tè a?
horizon, skyline|orizon, Skyline
(7) What words refer to something in the sky?|(7) Ki sa pawòl, al gade nan yon bagay nan syèl la?
heavenly body, celestial body, luminary|kò selès, kò selès, lumières
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Ki sa pawòl, al gade nan limyè yo ki parèt nan nò (oswa sid) syèl la?
aurora borealis, northern lights|Aurora Boreal, limyè nò
(9) What words refer to something being in the sky?|(9) Ki sa pawòl, al gade nan yon bagay yo te nan syèl la?
aloft, up in the sky, up in the air,|Altitid, moute nan syèl la, moute nan lè a,
Sun|Solèy
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Sèvi ak domèn sa a pou mo ki gen rapò ak solèy la. Solèy la fè twa bagay sa yo de baz yo. Li deplase, l &#39;klere, epi li bay chalè. Twa aksyon sa yo ap patisipe nan siyifikasyon yo nan pi fò nan mo sa yo nan domèn sa a. Depi solèy la deplase pi ba a orizon an, anpil mo al gade nan li mete oswa ap monte. Depi solèy la se pi wo a nyaj yo, anpil mo al gade nan li k ap deplase dèyè nwaj yo ak nwaj yo bloke limyè li yo. Limyè solèy la ak chalè tou pwodwi efè segondè. Solèy la ki lakòz plant yo grandi, ak li lakòz domaj nan bagay sa yo.
(1) What words refer to the sun?|(1) Ki sa pawòl, al gade nan solèy la?
sun, solar, sol, daystar, our star|solèy, solè, sol, Daystar, zetwal nou an
