Universe, creation|Universe, sáng tạo
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Sử dụng tên miền này cho các từ chung chỉ các vũ trụ vật chất. Một số ngôn ngữ có thể không có một từ duy nhất cho vũ trụ và có thể phải sử dụng một cụm từ như &#39;mưa, đất, và mọi thứ của bầu trời&#39; hay &#39;bầu trời, đất và nước &quot;hay một cụm từ mô tả như&quot; tất cả mọi thứ bạn có thể xem &#39;hoặc&#39; mọi sự hiện hữu.
(1) What words refer to everything we can see?|(1) Những lời giới thiệu những để tất cả mọi thứ chúng ta có thể nhìn thấy?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|vũ trụ, sáng tạo, vũ trụ, trời đất, vũ trụ bao la, mọi sự hiện hữu
Sky|Bầu trời
Use this domain for words related to the sky.|Sử dụng tên miền này cho các từ liên quan đến bầu trời.
(1) What words are used to refer to the sky?|(1) được sử dụng những từ gì để nói đến bầu trời?
sky, firmament, canopy, vault|bầu trời, bầu trời, tán, vault
(2) What words refer to the air around the earth?|(2) Những lời đề cập đến không khí xung quanh trái đất?
air, atmosphere, airspace, stratosphere, ozone layer|không khí, không khí, không phận, tầng bình lưu, tầng ozone
(3) What words are used to refer to the place or area beyond the sky?|(3) được sử dụng những từ gì để tham khảo các địa điểm hoặc khu vực ngoài trời?
heaven, space, outer space, ether, void, solar system|trời, không gian, không gian bên ngoài, ether, void, hệ thống năng lượng mặt trời
(4) What words describe something in the sky or something that happens in the sky?|(4) Những lời mô tả một cái gì đó trên bầu trời hay cái gì đó sẽ xảy ra trên bầu trời?
aerial, heavenly, atmospheric, stratospheric, celestial,|trên không, trên trời, khí quyển, tầng bình lưu, thiên,
(5) What words describe the appearance of the sky?|(5) Những gì từ mô tả sự xuất hiện của bầu trời?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|màu xanh, rõ ràng, màu đen (ban đêm), mây, điện toán đám mây đầy, rực rỡ, bóng tối, bầu trời đêm, linh tính, bão, tối, sao studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Những lời đề cập đến các cạnh của bầu trời, nơi nó đáp ứng mặt đất?
horizon, skyline|chân trời, đường chân trời
(7) What words refer to something in the sky?|(7) Những lời ám chỉ cái gì ở trên trời?
heavenly body, celestial body, luminary|cơ thể trên trời, thiên thể, sáng chói
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Những lời tham khảo các đèn xuất hiện ở phía Bắc (hoặc Nam) trên bầu trời?
aurora borealis, northern lights|aurora borealis, đèn phía Bắc
(9) What words refer to something being in the sky?|(9) Những lời ám chỉ cái gì là trên bầu trời?
aloft, up in the sky, up in the air,|ở trên cao, lên trên bầu trời, trong không khí,
Sun|Mặt trời
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Sử dụng tên miền này cho các từ liên quan đến mặt trời. Mặt trời hiện ba điều cơ bản. Nó di chuyển, nó mang lại ánh sáng, và nó mang lại cho nóng. Ba hành động có liên quan đến ý nghĩa của hầu hết các từ trong tên miền này. Kể từ khi mặt trời di chuyển dưới đường chân trời, nhiều từ đề cập đến nó thiết lập hoặc tăng. Kể từ khi mặt trời trên những đám mây, nhiều từ đề cập đến nó di chuyển phía sau những đám mây và những đám mây chặn ánh sáng của nó. Ánh sáng và nhiệt của mặt trời cũng tạo ra tác dụng phụ. Mặt trời khiến loài thực vật phát triển, và nó gây ra thiệt hại cho mọi thứ.
(1) What words refer to the sun?|(1) Những lời đề cập đến mặt trời?
sun, solar, sol, daystar, our star|mặt trời, năng lượng mặt trời, sol, Sao mai, ngôi sao của chúng tôi
