Universe, creation|Ayé, ẹda
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Lo yi ìkápá fun gbogboogbo ọrọ ifilo si awọn ti ara Agbaye. Diẹ ninu awọn ede le ko ni kan nikan ọrọ fun Agbaye ati ki o le ni lati lo gbolohun kan gẹgẹbi &#39;ojo, ile, ati ohun ti ọrun&#39; tabi &#39;ọrun, ilẹ, ati omi&#39; tabi kan sapejuwe iru gbolohun bi &#39;ohun gbogbo ti o le wo &#39;tabi&#39; ohun gbogbo ti o wa &#39;.
(1) What words refer to everything we can see?|(1) Kí ni ọrọ tọkasi lati ohun gbogbo ti a le ri?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|àgbáyé, ẹda, cosmos, ọrun ati aiye, macrocosm, ohun gbogbo ti o wa
Sky|Ọrun
Use this domain for words related to the sky.|Lo yi ìkápá fun ọrọ jẹmọ si ọrun.
(1) What words are used to refer to the sky?|(1) Kí ni ọrọ ti wa ni lo lati tọka si ọrun?
sky, firmament, canopy, vault|ọrun, ofurufu, ibori, ifinkan
(2) What words refer to the air around the earth?|(2) Kí ni ọrọ tọkasi si air ni ayika ilẹ ayé?
air, atmosphere, airspace, stratosphere, ozone layer|air, bugbamu ti, airspace, stratosphere, osonu Layer
(3) What words are used to refer to the place or area beyond the sky?|(3) Kí ọrọ ti wa ni lo lati tọka si ibi tabi agbegbe tayọ awọn ọrun?
heaven, space, outer space, ether, void, solar system|ọrun, aaye kun, lode aaye kun, ether, ofo ni, oorun eto
(4) What words describe something in the sky or something that happens in the sky?|(4) Kí ni ọrọ apejuwe nkankan ninu awọn ọrun tabi nkankan ti o ṣẹlẹ ni ọrun?
