Universe, creation|Universet, skapelsen
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Bruk dette domenet for generelle ord som refererer til det fysiske universet. Noen språk kan ikke ha et eneste ord for universet og kanskje bruke en setning som &#39;regn, jord, og ting på himmelen &quot;eller&quot; himmel, jord og vann &quot;eller en beskrivende setning som&quot; alt du kan se &quot;eller&quot; alt som finnes &quot;.
(1) What words refer to everything we can see?|(1) Hvilke ord overlat alt vi kan se?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universet, skapelsen, kosmos, himmel og jord, makrokosmos, alt som eksisterer
Sky|Sky
Use this domain for words related to the sky.|Bruk dette domenet for ord relatert til himmelen.
(1) What words are used to refer to the sky?|(1) Hvilke ord brukes for å referere til himmelen?
sky, firmament, canopy, vault|himmel, himmelhvelvingen, baldakin, hvelv
(2) What words refer to the air around the earth?|(2) Hvilke ord refererer til luften rundt jorden?
air, atmosphere, airspace, stratosphere, ozone layer|air, atmosfære, luftrom, stratosfæren, ozonlaget
(3) What words are used to refer to the place or area beyond the sky?|(3) Hvilke ord brukes for å referere til sted eller område utenfor himmelen?
heaven, space, outer space, ether, void, solar system|himmelen, plass, verdensrommet, eter, ugyldig, solsystemet
(4) What words describe something in the sky or something that happens in the sky?|(4) Hvilke ord beskrive noe på himmelen eller noe som skjer på himmelen?
aerial, heavenly, atmospheric, stratospheric, celestial,|antenne, himmelsk, atmosfærisk, stratosfærisk, himmelsk,
(5) What words describe the appearance of the sky?|(5) Hvilke ord beskriver utseendet på himmelen?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blå, klar, sort (natt), skyet, sky fylt, strålende, mørk, natt himmel, illevarslende, stormfull, mørk, stjernespekket
(6) What words refer to the edge of the sky where it meets the ground?|(6) Hvilke ord refererer til kanten av himmelen der den møter bakken?
horizon, skyline|horisonten, skyline
(7) What words refer to something in the sky?|(7) Hvilke ord referere til noe på himmelen?
heavenly body, celestial body, luminary|himmellegeme, himmellegeme, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Hvilke ord refererer til lysene som vises i den nordlige (eller sørlig) himmelen?
aurora borealis, northern lights|aurora borealis, nordlys
(9) What words refer to something being in the sky?|(9) Hvilke ord refererer til noe å være i himmelen?
aloft, up in the sky, up in the air,|værs, opp i himmelen, opp i luften,
Sun|Sol
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Bruk dette domenet for ord knyttet til solen. Solen gjør tre grunnleggende ting. Den beveger seg, det gir lys, og det gir varme. Disse tre handlinger som er involvert i betydningene av de fleste av ordene i dette domenet. Siden solen beveger seg under horisonten, mange ord referere til den innstillingen eller stiger. Siden solen er over skyene, mange ord referere til det å flytte bak skyene og skyene blokkerer lyset. Solens lys og varme også produsere sekundære effekter. Solen får plantene til å vokse, og det fører til skade på ting.
(1) What words refer to the sun?|(1) Hvilke ord refererer til solen?
sun, solar, sol, daystar, our star|sol, sol, sol, daystar, vår stjerne
