Universe, creation|Универзумот, создавање
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Користете го овој домен за општи зборови се однесуваат на физичкиот универзум. Некои јазици не можат да имаат еден единствен збор за универзумот и можеби ќе треба да користите фраза како &quot;дожд, почвата, и работите на небото&quot; или &quot;небото, земјата и водата&quot; или описни фраза како &quot;сè што може види &quot;или&quot; сè што постои.
(1) What words refer to everything we can see?|(1) Кои зборови се однесуваат на сè што може да се види?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|вселената, создавањето, космосот, небото и земјата, макрокосмосот, сè што постои
Sky|Небото
Use this domain for words related to the sky.|Користете го овој домен зборови поврзани со небото.
(1) What words are used to refer to the sky?|(1) Кои зборови се користат да се однесуваат на небото?
sky, firmament, canopy, vault|небото, сводот, крошна, со стап
(2) What words refer to the air around the earth?|(2) Кои зборови се однесуваат на воздухот околу Земјата?
air, atmosphere, airspace, stratosphere, ozone layer|воздухот, атмосфера, воздушен простор, стратосферата, озонската обвивка
(3) What words are used to refer to the place or area beyond the sky?|(3) Кои зборови се користат да се однесуваат на местото или подрачјето зад небото?
heaven, space, outer space, ether, void, solar system|небото, простор, вселената, етер, празнина, Сончевиот систем
(4) What words describe something in the sky or something that happens in the sky?|(4) Кои зборови го опишуваат нешто на небото, или нешто што се случува на небото?
aerial, heavenly, atmospheric, stratospheric, celestial,|антена, небесен, атмосферски, во стратосферата, небесни,
(5) What words describe the appearance of the sky?|(5) Кои зборови се опише појавата на небото?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|сина, јасен, црн (ноќе), облачно, облак исполнет, брилијантен, темно, ноќното небо, претчувството, бурна, темно, ѕвезда начичкана
(6) What words refer to the edge of the sky where it meets the ground?|(6) Кои зборови се однесуваат на работ на Небото, каде што се сретна со земјата?
horizon, skyline|хоризонтот, Панорама
(7) What words refer to something in the sky?|(7) Кои зборови се однесуваат на нешто на небото?
heavenly body, celestial body, luminary|небесно тело, небеско тело, Светлосна
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Кои зборови се однесуваат на светлата кои се појавуваат во северниот (или на југ) небото?
aurora borealis, northern lights|Аурора Бореалис, поларната светлина
(9) What words refer to something being in the sky?|(9) Кои зборови се однесуваат на нешто што е на небото?
aloft, up in the sky, up in the air,|нависоко, горе на небото, во воздух,
Sun|Сонцето
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Користете го овој домен зборови поврзани со сонцето. Сонцето го прави три основни работи. Се движи, тоа му дава светлина, и тоа му дава топлина. Овие три акции се вклучени во значењата на повеќето од зборовите во оваа област. Бидејќи сонцето се движи под хоризонтот, многу зборови се однесуваат на поставување или зголемува. Од сонцето е над облаците, многу зборови се однесуваат на тоа движат зад облаците и да ги блокира светлината облаците. Светлината и топлината на сонцето, исто така, произведуваат секундарни ефекти. Сонцето предизвикува растенија да расте, а тоа предизвикува штета на нештата.
(1) What words refer to the sun?|(1) Кои зборови се однесуваат на сонцето?
sun, solar, sol, daystar, our star|сонцето, соларни, сол, daystar, нашата ѕвезда
