Universe, creation|ចក្កវាឡ​បង្កើត
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ប្រើ​ដែន​សម្រាប់​ពាក្យ​ទូទៅ​សំដៅ​ទៅ​លើ​សកលលោក​នេះ​។ ភាសា​មួយ​ចំនួន​អាច​នឹង​មិន​មាន​ពាក្យ​តែ​មួយ​សម្រាប់​សកលលោក​និង​អាច​មាន​ការ​ប្រើ​ឃ្លា​ដូចជា​ភ្លៀង​, ដី​, រឿង​និង​លើ​មេឃ &#39;ឬ​&#39; មេឃ​ដី​និង​ទឹក &#39;ឬ​ឃ្លា​ដែល​បាន​ពិពណ៌នា​ដូចជា​អ្វី​គ្រប់យ៉ាង​ដែល​អ្នក​អាច​ធ្វើ​បាន​មួយ មើល​ឃើញ &quot;ឬ​&quot; អ្វី​គ្រប់​យ៉ាង​ដែល​មាន​។ &#39;
(1) What words refer to everything we can see?|(1​) តើ​ពាក្យ​អ្វី​ដែល​យោង​ទៅ​លើ​អ្វី​គ្រប់យ៉ាង​ដែល​យើង​អាច​មើល​ឃើញ​?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|ចក្រវាល​, ការ​បង្កើត​, cosmos ស្ថាន​បរមសុខ * និង​ផែនដី macrocosm​, អ្វី​គ្រប់​យ៉ាង​ដែល​មាន
Sky|ស្កា​យ
Use this domain for words related to the sky.|ប្រើ​ដែន​សម្រាប់​ពាក្យ​ដែល​ទាក់​ទង​ទៅ​មេឃ​នេះ​។
(1) What words are used to refer to the sky?|(1​) តើ​ពាក្យ​អ្វី​ដែល​ត្រូវ​បាន​គេ​ប្រើ​ដើម្បី​សំដៅ​ទៅ​លើមេឃ​ដូច្នេះ​?
sky, firmament, canopy, vault|មេឃ​, លំហ​, ស្លឹក vault​,
(2) What words refer to the air around the earth?|(2​) តើ​ពាក្យ​ដែល​យោង​ទៅ​តាម​អាកាស​នៅ​ជុំវិញ​ផែនដី​នេះ​?
air, atmosphere, airspace, stratosphere, ozone layer|ខ្យល់​បរិយាកាស​ដែនអាកាស​, stratosphere ស្រទាប់​អូហ្សូន
(3) What words are used to refer to the place or area beyond the sky?|(3​) តើ​ពាក្យ​អ្វី​ដែល​ត្រូវ​បាន​គេ​ប្រើ​ដើម្បី​សំដៅ​ទៅ​កន្លែង​ឬ​តំបន់​ហួស​ពី​លើមេឃ​?
heaven, space, outer space, ether, void, solar system|ស្ថាន​បរមសុខ​, ចន្លោះ​, ចន្លោះ​ខាងក្រៅ​, អេ​ធើ​រ​, ចាត់​ទុកជាមោឃៈ​, ប្រព័ន្ធ​ព្រះ​អាទិត្យ
(4) What words describe something in the sky or something that happens in the sky?|(4​) តើ​ពាក្យ​អ្វី​ដែល​មាន​អ្វី​មួយ​នៅ​លើ​មេឃ​ឬ​អ្វី​មួយ​ដែល​កើត​ឡើង​នៅ​លើ​មេឃ​អំពី​អ្វី​?
aerial, heavenly, atmospheric, stratospheric, celestial,|ពី​លើ​អាកាស​នៅ​ស្ថានសួគ៌​បរិយាកាស stratospheric​, សេ​ឡេ​ស្ទា​ល​,
(5) What words describe the appearance of the sky?|(5​) តើ​ពាក្យ​អ្វី​ដែល​នឹង​ពណ៌នា​អំពី​រូបរាង​នៃ​មេឃ​?
