Universe, creation|Semesta, nyiptakeun
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Pake domain ieu kecap umum ngarujuk ka alam semesta fisik. Sababaraha basa bisa jadi teu boga kecap tunggal pikeun jagat raya jeung bisa jadi kudu make kecap nu rék saperti &#39;hujan, taneuh, sarta hal langit&#39; atawa &#39;langit, taneuh, jeung cai&#39; atawa frase deskriptif saperti &#39;sadaya nu Anjeun bisa tempo &#39;atawa&#39; sagalana anu nyampak &#39;.
(1) What words refer to everything we can see?|(1) kecap Naon tingal sagalana urang bisa nempo?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universe, nyiptakeun, kosmos, langit jeung bumi, makrokosmos, sadayana nu nyampak
Sky|Langit
Use this domain for words related to the sky.|Pake domain ieu kecap patali ka langit.
(1) What words are used to refer to the sky?|(1) kecap Naon anu dipaké pikeun ngarujuk ka langit?
sky, firmament, canopy, vault|langit, firmament, kanopi, kolong
(2) What words refer to the air around the earth?|(2) kecap Naon tingal hawa kira-kira bumi?
air, atmosphere, airspace, stratosphere, ozone layer|hawa, suasana, airspace, stratosphere, lapisan ozon
(3) What words are used to refer to the place or area beyond the sky?|(3) kecap Naon anu dipaké pikeun ngarujuk ka tempat atawa wewengkon saluareun langit?
heaven, space, outer space, ether, void, solar system|sawarga, rohangan, luar angkasa, éter, kakosongan, sistim tatasurya
(4) What words describe something in the sky or something that happens in the sky?|(4) kecap Naon ngagambarkeun hiji hal di langit atawa hiji hal anu kajadian di langit?
aerial, heavenly, atmospheric, stratospheric, celestial,|hawa, sawarga, atmosfir, stratospheric, celestial,
(5) What words describe the appearance of the sky?|(5) kecap Naon ngagambarkeun penampilan langit?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|biru, jelas, hideung (peuting), mendung, awan kaeusi, sarwa, poek, peuting langit, foreboding, mang rebu-rebu, poek, béntang studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) kecap Naon ngarujuk tepi langit mana meets taneuh?
horizon, skyline|cakrawala, skyline
(7) What words refer to something in the sky?|(7) kecap Naon tingal hal di langit?
heavenly body, celestial body, luminary|awak sawarga, awak celestial, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) kecap Naon tingal lampu nu mucunghul di kalér (atawa kidul) langit?
aurora borealis, northern lights|Parakan borealis, lampu kalér
(9) What words refer to something being in the sky?|(9) kecap Naon tingal hal sabenerna langit?
aloft, up in the sky, up in the air,|aloft, nepi di langit, nepi di awang,
Sun|Panonpoe
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Pake domain ieu kecap nu patali jeung panonpoé. Panonpoé teu tilu hal dasar. Eta gerakna, eta mere cahaya, jeung méré panas. Tilu lampah nu aub dina harti kalolobaan kecap dina domain ieu. Saprak panonpoé gerakna handap cakrawala, loba kecap tingal eta netepkeun atawa rising. Saprak panonpoé aya luhureun awan, loba kecap tingal eta pindah balik awan sareng awan blocking cahaya nya. Cahaya panonpoé sarta panas oge ngahasilkeun efek sékundér. Panonpoé ngabalukarkeun tutuwuhan tumuwuh, sarta ngabalukarkeun ruksakna hal.
(1) What words refer to the sun?|(1) kecap Naon tingal panonpoé?
sun, solar, sol, daystar, our star|panonpoe, panonpoé, sol, daystar, béntang urang
