Universe, creation|Universumi loomine
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Kasutage seda domeeni üldine viitavad sõnad füüsilise universumi. Mõned keeled ei pruugi olla ühe sõna universumi ja võib-olla kasutada väljend nagu &quot;vihm, mulla, ja asjad taevas&quot; või &quot;taevas, maa ja vee&quot; või kirjeldav väljend nagu &quot;kõike saab vaata &quot;või&quot; kõik, mis on olemas &quot;.
(1) What words refer to everything we can see?|(1) Mis sõnad viitavad kõik näeme?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universumi loomine, kosmos, taevas ja maa, kõiksus, kõik, mis on olemas
Sky|Taevas
Use this domain for words related to the sky.|Kasutage seda domeeni seotud sõnade taevas.
(1) What words are used to refer to the sky?|(1) Mis sõnad on tähistatud taevas?
sky, firmament, canopy, vault|taevas, taevas, võrade, võlvkelder
(2) What words refer to the air around the earth?|(2) Millised sõnad viitavad õhu ümber Maa?
air, atmosphere, airspace, stratosphere, ozone layer|õhu, atmosfääri, õhuruum, stratosfääri, osoonikihi
(3) What words are used to refer to the place or area beyond the sky?|(3) Mis sõnu tähistatakse koht või ala väljaspool taevas?
heaven, space, outer space, ether, void, solar system|taevas, ruumi, kosmoses, eeter, tühine, päikesesüsteem
(4) What words describe something in the sky or something that happens in the sky?|(4) Mis sõnu kirjeldamaks midagi taevast või midagi, mis juhtub taevas?
aerial, heavenly, atmospheric, stratospheric, celestial,|õhust, taevalik, atmosfääri, stratosfääri, taevalik,
(5) What words describe the appearance of the sky?|(5) Millised sõnad kirjeldavad välimus taevas?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|sinine, selge, must (öö), pilvine, pilved täis, geniaalne, tume, öötaevas, halb eelaimus, tormine, pime, star täis
(6) What words refer to the edge of the sky where it meets the ground?|(6) Millised sõnad viitavad serva taevas, kui see vastab maa?
horizon, skyline|silmapiiril, skyline
(7) What words refer to something in the sky?|(7) Millised sõnad viitavad midagi taevas?
heavenly body, celestial body, luminary|taevakeha, taevakeha, valgusti
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Mis sõnad viitavad tuled, mis ilmuvad Põhja-(või Lõuna) taevas?
aurora borealis, northern lights|virmalisi, virmalised
(9) What words refer to something being in the sky?|(9) Mis sõnad viitavad midagi on taevas?
aloft, up in the sky, up in the air,|Aloft, taevas, õhku,
Sun|Päike
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Kasutage seda domeeni seotud sõnade päike. Päike teeb kolm põhilist asja. Ta liigub, see annab valgust ja see annab soojust. Need kolm meedet on seotud tähendusi enamik sõnu selles valdkonnas. Kuna päike liigub allpool horisonti, palju sõnu nimetatakse seda, milles või tõuseb. Kuna päike on pilvede, paljud sõnad viitavad see liigub pilvede taga ja pilvede blokeerides selle valguses. Päikese valgust ja soojust ka sekundaarset toimet. Päike põhjustab taimedel kasvada ning see kahjustab asjad.
(1) What words refer to the sun?|(1) Mis sõnad viitavad päike?
sun, solar, sol, daystar, our star|päike, päike, sol, Daystar, meie täht
