Universe, creation|ಯೂನಿವರ್ಸ್, ಸೃಷ್ಟಿ
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ಭೌತಿಕ ಬ್ರಹ್ಮಾಂಡದ ಉಲ್ಲೇಖಿಸಿ ಸಾಮಾನ್ಯ ಪದಗಳನ್ನು ಈ ಡೊಮೇನ್ ಬಳಸಿ. ಕೆಲವು ಭಾಷೆಗಳಲ್ಲಿ ಬ್ರಹ್ಮಾಂಡಕ್ಕೆ ಒಂದು ಪದ ಹೊಂದಿರುವುದಿಲ್ಲ ಮತ್ತು ಉದಾಹರಣೆಗೆ ನೀವು &#39;ಎಲ್ಲವೂ&#39; ಮಳೆ, ಮಣ್ಣಿನ ಮತ್ತು ಆಕಾಶದ ವಸ್ತುಗಳನ್ನು &#39;ಅಥವಾ&#39; ಆಕಾಶ, ಭೂಮಿ, ಮತ್ತು ನೀರು &#39;ಅಥವಾ ಒಂದು ವಿವರಣಾತ್ಮಕ ಪದಗುಚ್ಛವನ್ನು ಒಂದು ನುಡಿಗಟ್ಟು ಬಳಸಲು ಹೊಂದಿರಬಹುದು ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ &#39;ಅಥವಾ&#39; ಎಲ್ಲವೂ &#39;ನೋಡಿ.
(1) What words refer to everything we can see?|(1) ನಾವು ಎಲ್ಲವನ್ನೂ ಯಾವ ಪದಗಳು ನೋಡಿ ನೋಡಬಹುದು?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ ಬ್ರಹ್ಮಾಂಡದ, ಸೃಷ್ಟಿ, ಬ್ರಹ್ಮಾಂಡದ, ಸ್ವರ್ಗ ಮತ್ತು ಭೂಮಿಯ, ಸಮಷ್ಟಿ, ಎಲ್ಲವನ್ನೂ
Sky|ಸ್ಕೈ
Use this domain for words related to the sky.|ಆಕಾಶದಲ್ಲಿ ಸಂಬಂಧಿಸಿದ ಪದಗಳಿಗೆ ಇದರ ಡೊಮೇನ್ ಬಳಸಿ.
(1) What words are used to refer to the sky?|(1) ಯಾವ ಪದಗಳು ಆಕಾಶದಲ್ಲಿ ಉಲ್ಲೇಖಿಸಲು ಬಳಸಲಾಗುತ್ತದೆ?
sky, firmament, canopy, vault|ಆಕಾಶ, ಆಕಾಶ, ಮೇಲಾವರಣ, ಚಾವಣಿ
(2) What words refer to the air around the earth?|(2) ಯಾವ ಪದಗಳು ಭೂಮಿಯ ಸುತ್ತ ವಾಯು ಸಂಪರ್ಕಿಸಿ?
air, atmosphere, airspace, stratosphere, ozone layer|ಗಾಳಿ, ವಾತಾವರಣ, ವಾಯುಪ್ರದೇಶದ, ವಾಯುಮಂಡಲ, ಓಝೋನ್ ಪದರ
(3) What words are used to refer to the place or area beyond the sky?|(3) ಯಾವ ಪದಗಳು ಆಕಾಶದಲ್ಲಿ ಮೀರಿ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಪ್ರದೇಶವನ್ನು ಉಲ್ಲೇಖಿಸಲು ಬಳಸಲಾಗುತ್ತದೆ?
