Universe, creation|Ертөнц, бий болгох
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Физик ертөнцийн хамаарах ерөнхий хэлбэл энэ домэйныг хэрэглэнэ. Зарим нь хэл орчлон ертөнц нь нэг үг байж болно, ийм тийм та &quot;бүх зүйлс&quot;, бороо, хөрс,, тэнгэрийн юмсыг &quot;буюу&quot; тэнгэр, газар, ус &quot;, эсвэл тайлбар хэллэг зэрэг хэллэг ашиглах хэрэгтэй болно байгаа &quot;эсвэл&quot; бүх зүйлийг &quot;хэсгээс үзнэ үү.
(1) What words refer to everything we can see?|(1) Бид бүх зүйлд ямар үг хандана харж болох вэ?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|байгаа орчлон ертөнц, бий болгох, Космос, тэнгэр, газар, биет макро биет, бүх зүйл
Sky|Скай
Use this domain for words related to the sky.|Тэнгэр холбоотой хэлбэл энэ домэйныг хэрэглэнэ.
(1) What words are used to refer to the sky?|(1) гэж юу вэ үг тэнгэрт үзнэ үү ашиглаж байна вэ?
sky, firmament, canopy, vault|тэнгэр, огторгуй, халхавч, харайлтын
(2) What words refer to the air around the earth?|(2) гэж юу вэ үг дэлхий даяар агаарын үзнэ үү?
air, atmosphere, airspace, stratosphere, ozone layer|агаар, уур амьсгал, агаарын зай, давхраат мандлын озоны давхарга нь
(3) What words are used to refer to the place or area beyond the sky?|(3) гэж юу вэ үг тэнгэрийн цаана газар, эсвэл газар авна ашиглаж байна вэ?
heaven, space, outer space, ether, void, solar system|Тэнгэр, орон зай, гаднах орон зай, эфир, хүчин төгөлдөр бус, нарны систем
(4) What words describe something in the sky or something that happens in the sky?|(4) гэж юу вэ үг тэнгэрт болж тэнгэрт, эсвэл ямар нэг зүйлийг ямар нэг тайлбарлах?
aerial, heavenly, atmospheric, stratospheric, celestial,|, Селестиел, агаарын тэнгэрлэг, агаар мандал, давхраат мандлын
(5) What words describe the appearance of the sky?|(5) гэж юу вэ үгс тэнгэр гаднаас нь тодорхойлох?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|хөх, тодорхой, хар (шөнө), үүлэрхэг, үүл дүүрэн, гайхалтай, харанхуй, шөнийн тэнгэр, foreboding, шуургатай, хар, од одууд
(6) What words refer to the edge of the sky where it meets the ground?|(6) гэж юу вэ үг газар дээр тэнгэрийн үгийн утганд яг тохирч ирмэг үзнэ үү?
horizon, skyline|давхрага, Skyline
(7) What words refer to something in the sky?|(7) ямар үг тэнгэрт зүйлийг үзнэ үү?
heavenly body, celestial body, luminary|тэнгэрийн бие, тэнгэрийн бие, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) гэж юу вэ үгс хойд (эсвэл өмнөд) тэнгэрт гарч гэрэл үзнэ үү?
aurora borealis, northern lights|Аврора borealis, хойд гэрэл
(9) What words refer to something being in the sky?|(9) гэж юу вэ үг тэнгэрт байгаа зүйлийг үзнэ үү?
aloft, up in the sky, up in the air,|тусламжтайгаар оршин хүртэл тэнгэрт, агаарт гарч,
Sun|Нарны
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Нар холбоотой хэлбэл энэ домэйныг хэрэглэнэ. нар гурван үндсэн зүйл хийдэг. Энэ нь гэрэл өгдөг, хөдөлж, мөн энэ нь дулааныг өгдөг. Эдгээр гурван үйлдлүүд нь энэ талбар дахь үг хамгийн их утгаар оролцож байна. Нар тэнгэрийн хаяанд доор хөдөлж хойш олон үг нь тогтоох, эсвэл өсөн нэмэгдэж үзнэ үү. Нар үүлний дээгүүр болохоор олон үг үүл болон түүний гэрлийг хаах үүлэн цаана хөдөлж Хэрэв үзнэ үү. нарны гэрэл, дулаан нь хоёрдогч нөлөө бий. Нар ургамал ургадаг хүргэдэг бөгөөд энэ нь юмсын гэм хор хүргэдэг.
(1) What words refer to the sun?|(1) гэж юу вэ үг нар үзнэ үү?
sun, solar, sol, daystar, our star|Нар, нарны, Sol, DayStar, бидний од
