Universe, creation|우주 창조
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|물리적 우주를 참조 일반적인 단어에 대한이 도메인을 사용합니다. 일부 언어는 우주에 대한 하나의 단어가 없을 수와 같은 그런 당신이 할 수있는 &#39;다 같이&#39;비, 토양, 하늘의 일 &#39;또는&#39;하늘, 땅, 물 &#39;또는 설명 문구 등의 문구를 사용 할 수 있습니다 존재 &#39;또는&#39;모두 &#39;를 참조하십시오.
(1) What words refer to everything we can see?|(1) 우리는 모든 것에 어떤 단어를 의뢰를 볼 수 있습니까?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|존재하는 우주, 창조, 우주, 하늘과 땅, 대우주, 모든
Sky|하늘
Use this domain for words related to the sky.|하늘 관련된 낱말이 도메인을 사용합니다.
(1) What words are used to refer to the sky?|(1) 어떤 단어 하늘을 참조하는 데 사용됩니다?
sky, firmament, canopy, vault|하늘, 창공, 캐노피, 금고
(2) What words refer to the air around the earth?|(2) 어떤 단어는 지구 주위의 공기를 참조하십시오?
air, atmosphere, airspace, stratosphere, ozone layer|공기, 분위기, 영공, 성층권, 오존층
(3) What words are used to refer to the place or area beyond the sky?|(3) 어떤 단어 하늘 너머 장소 또는 지역을 참조하는 데 사용됩니다?
heaven, space, outer space, ether, void, solar system|하늘, 공간, 우주, 에테르, 공간, 태양계
(4) What words describe something in the sky or something that happens in the sky?|(4) 어떤 단어는 하늘에서 일어나는 하늘 또는 무언가에 뭔가를 설명?
aerial, heavenly, atmospheric, stratospheric, celestial,|, 하늘, 공중 하늘, 대기, 성층권
(5) What words describe the appearance of the sky?|(5) 어떤 단어는 하늘의 모양을 설명?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|블루, 클리어, 블랙 (밤), 흐림, 구름 가득, 화려한, 어두운, 밤 하늘, 예감은, 폭풍우, 어두운, 별이 박힌
(6) What words refer to the edge of the sky where it meets the ground?|(6)은 어떤 단어 지상을 충족 하늘의 가장자리를 참조?
horizon, skyline|수평선, 지평선
(7) What words refer to something in the sky?|(7) 어떤 단어는 하늘에서 뭔가를 참조하십시오?
heavenly body, celestial body, luminary|천체, 천체, 선각자
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) 어떤 단어는 북부 (또는 남쪽) 하늘에 나타나는 빛을 참조하십시오?
aurora borealis, northern lights|오로라 보 리 얼리스, 오로라
(9) What words refer to something being in the sky?|(9) 어떤 단어는 하늘에있는 뭔가를 참조하십시오?
aloft, up in the sky, up in the air,|위에, 위로 하늘에, 공기에,
Sun|태양
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|태양 관련된 낱말이 도메인을 사용합니다. 태양은 세 가지 기본 일을한다. 그것은 빛을 제공, 이동, 그리고 열을 제공한다. 이 세 가지 조치는이 도메인에있는 단어의 대부분의 의미에 참여하고 있습니다. 태양이 지평선 아래로 이동하기 때문에, 많은 단어는 설정 또는 상승을 참조하십시오. 태양이 구름 위에 있기 때문에, 많은 단어 구름과 빛을 차단 구름 뒤에 움직이는 그것을 참조. 태양의 빛과 열은 보조 효과를 생산하고 있습니다. 태양은 식물이 성장을 야기하고, 물건에 손상이 발생합니다.
(1) What words refer to the sun?|(1) 어떤 단어는 태양을 참조하십시오?
sun, solar, sol, daystar, our star|태양, 태양, 솔, 데이스타, 우리의 스타
