Universe, creation|Вселенная, создание
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Используйте этот домен для общих слов, относящихся к физической вселенной. Некоторые языки могут не иметь ни одного слова для Вселенной и, возможно, придется использовать фразу, такие как &quot;дождь, почвы и вещей на небе» или «небо, земля и вода» или описательного выражения, такие как «все, что можно см &#39;или&#39; все, что существует ».
(1) What words refer to everything we can see?|(1) Какие слова относятся к все, что мы можем видеть?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Вселенная, создание, космос, небо и земля, макромир, все, что существует
Sky|Небо
Use this domain for words related to the sky.|Используйте этот домен для слов, связанных с неба.
(1) What words are used to refer to the sky?|(1) Какие слова используются для обозначения в небо?
sky, firmament, canopy, vault|небо, небосвод, купол, свод
(2) What words refer to the air around the earth?|(2) То, что слова относятся к воздуху вокруг Земли?
air, atmosphere, airspace, stratosphere, ozone layer|воздух, атмосфера, воздушное пространство, стратосфера, озоновый слой
(3) What words are used to refer to the place or area beyond the sky?|(3) Какие слова используются для обозначения места или зоны за пределами неба?
heaven, space, outer space, ether, void, solar system|небо, космос, космос, эфир, пустота, Солнечная система
(4) What words describe something in the sky or something that happens in the sky?|(4) Какие слова описывают что-то в небе или что-то, что происходит в небе?
aerial, heavenly, atmospheric, stratospheric, celestial,|антенна, небесный, атмосферное стратосферного, небесное,
(5) What words describe the appearance of the sky?|(5) Какие слова описывают внешний вид неба?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|синий, прозрачный, черный (ночь), облачно, облако наполнило, блестящие, темно, ночь небо, предчувствие, бурная, темная, звездного
(6) What words refer to the edge of the sky where it meets the ground?|(6) Какие слова относятся к краю неба, где его встречает землю?
horizon, skyline|горизонт, горизонт
(7) What words refer to something in the sky?|(7) Какие слова относятся к чему-то в небе?
heavenly body, celestial body, luminary|небесное тело, небесное тело, светило
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Какие слова относятся к огням, которые появляются в северной (или южной) небо?
aurora borealis, northern lights|Aurora Borealis, северное сияние
(9) What words refer to something being in the sky?|(9) Какие слова относятся к чему-то, находясь в небе?
aloft, up in the sky, up in the air,|вверх, в небо, в воздухе,
Sun|Солнце
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Используйте этот домен для слов, связанных с солнцем. Солнце делает три основные вещи. Она движется, это дает свет, и это дает тепло. Эти три действия участвуют в значениях большинство слов в этой области. Так солнце движется ниже линии горизонта, многие слова относятся к нему установки или растет. Так солнце над облаками, многие слова относятся к нему движется за облаками и тучами, блокирующих его свет. Солнечный свет и тепло также вторичные эффекты. Солнце вызывает растения расти, и это приводит к повреждению вещей.
(1) What words refer to the sun?|(1) Какие слова относятся к солнцу?
sun, solar, sol, daystar, our star|солнце, солнечный, соль, дневное светило, наша звезда
