Universe, creation|Universo, creación
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Utilice este dominio para palabras xerais referentes ao universo físico. Algúns idiomas poden non ter unha soa palabra para o universo e pode ter que usar unha frase como &#39;choiva, solo e cousas do ceo &quot;ou&quot; ceo, terra e auga &quot;ou unha frase descritiva, como&quot; todo o que poida ver &quot;ou&quot; todo o que existe &quot;.
(1) What words refer to everything we can see?|(1) Que palabras se refiren a todo o que podemos ver?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universo, creación, cosmos, ceo e terra, macrocosmos, todo o que existe
Sky|Ceo
Use this domain for words related to the sky.|Utilice este dominio para palabras relacionadas co ceo.
(1) What words are used to refer to the sky?|(1) O palabras son utilizadas para referirse ao ceo?
sky, firmament, canopy, vault|ceo, firmamento, dossel, bóveda
(2) What words refer to the air around the earth?|(2) Que palabras refírense ao aire arredor da Terra?
air, atmosphere, airspace, stratosphere, ozone layer|aire, atmosfera, espazo aéreo, estratosfera, capa de ozono
(3) What words are used to refer to the place or area beyond the sky?|(3) Que palabras son usadas para referirse a un lugar ou zona alén do ceo?
heaven, space, outer space, ether, void, solar system|ceo, espazo, o espazo, éter, sistema de baleiros, solar
(4) What words describe something in the sky or something that happens in the sky?|(4) Que palabras describen algo no ceo ou algo que ocorre no ceo?
aerial, heavenly, atmospheric, stratospheric, celestial,|aéreo, celestial, atmosférico, estratosférico, celestial,
(5) What words describe the appearance of the sky?|(5) Que palabras describen o aspecto do ceo?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|azul claro, negro (noite), nublado, nube encheu, brillante, escuro, ceo nocturno, presentimento, tormentoso, escuro, estrela cravejada
(6) What words refer to the edge of the sky where it meets the ground?|(6) Que palabras refírense á beira do ceo onde se atopa co chan?
horizon, skyline|horizonte, skyline
(7) What words refer to something in the sky?|(7) O que palabras se refiren a algo no ceo?
heavenly body, celestial body, luminary|corpo celestial, corpo celeste, luminar
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) O que as palabras se refiren ás luces que aparecen no ceo do norte (ou sur)?
aurora borealis, northern lights|aurora boreal, aurora boreal
(9) What words refer to something being in the sky?|(9) O que as palabras se refiren a algo estar no ceo?
aloft, up in the sky, up in the air,|no alto, no ceo, no aire,
Sun|Sol
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Utilice este dominio para palabras relacionadas ao sol. O sol fai tres cousas básicas. Ela se move, dá luz e dá calor. Estas tres accións están implicados nos significados da maioría das palabras neste ámbito. Xa que o sol se move baixo do horizonte, moitas palabras se refiren a el nacendo ou poñéndose. Sempre que o sol está por riba das nubes, moitas palabras se refiren a el move-se detrás das nubes e as nubes que bloquean a luz. A luz do sol e calor tamén producen efectos secundarios. O sol fai que as plantas a crecer, e que provoca danos ás cousas.
(1) What words refer to the sun?|(1) Que palabras refírense ao sol?
sun, solar, sol, daystar, our star|sol, solar, sol, Daystar, nosa estrela
