Universe, creation|Svemir, stvaranje
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Koristite ovu domenu za opće riječi koje se odnose na fizičkog svemira. Neki jezici ne mogu imati jednu riječ za svemir i svibanj morati koristiti izraz poput &quot;kiša, tlo, i stvari na nebu&quot; ili &quot;nebo, zemlju i vodu&quot; ili opisnom fraze poput &#39;sve što možete vidi &#39;ili&#39; sve što postoji &#39;.
(1) What words refer to everything we can see?|(1) Koje riječi odnose se na sve što možemo vidjeti?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|svemir, stvaranje, svemir, nebo i zemlja, makrokozmos, sve što postoji
Sky|Nebo
Use this domain for words related to the sky.|Koristite ovo područje za riječi odnose na nebu.
(1) What words are used to refer to the sky?|(1) Koje se riječi koriste da se odnosi na nebu?
sky, firmament, canopy, vault|nebo, nebeski svod, nadstrešnica, sef
(2) What words refer to the air around the earth?|(2) Koje riječi odnose se na zrak oko Zemlje?
air, atmosphere, airspace, stratosphere, ozone layer|zrak, atmosfera, zračnog prostora, stratosfera, ozonski sloj
(3) What words are used to refer to the place or area beyond the sky?|(3) Koje se riječi koriste da se odnosi na mjesto ili područje izvan neba?
heaven, space, outer space, ether, void, solar system|nebo, prostor, svemir, eter, praznina, solarni sustav
(4) What words describe something in the sky or something that happens in the sky?|(4) Koje riječi opisati nešto na nebu ili nešto što se događa na nebu?
aerial, heavenly, atmospheric, stratospheric, celestial,|zraka, nebeski, atmosferski, stratosfere, nebeski,
(5) What words describe the appearance of the sky?|(5) Ono što riječi opisuju pojavu na nebu?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|plavo, bistro, crna (noć), oblačno, oblak ispuni, briljantan, tamno, noćno nebo, slutnje, olujni, tamno, zvijezda okovan klincima
(6) What words refer to the edge of the sky where it meets the ground?|(6) Koje riječi odnose se na rubu neba, gdje ga susreće zemlju?
horizon, skyline|horizont, Skyline
(7) What words refer to something in the sky?|(7) Koje riječi odnose na nešto na nebu?
heavenly body, celestial body, luminary|nebesko tijelo, nebesko tijelo, svjetiljka
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Koje riječi odnose se na svjetla koja se pojavljuju u sjevernoj (ili južnom nebu)?
aurora borealis, northern lights|Aurora Borealis, polarna svjetlost
(9) What words refer to something being in the sky?|(9) Koje riječi odnose na nešto bude na nebu?
aloft, up in the sky, up in the air,|gore, na nebu, u zraku,
Sun|Sunce
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Koristite ovo područje za riječi odnose na suncu. Sunce se tri osnovne stvari. Ona se kreće, daje svjetlost, i ona daje toplinu. Ove tri akcije su uključeni u značenjima većina riječi u ovoj domeni. Budući da je sunce kreće ispod horizonta, mnoge riječi se odnose na postavljanje ili diže. Budući da je sunce iznad oblaka, mnoge riječi se odnose na njega kreće iza oblaka i oblaka blokirali njegovo svjetlo. Sunčeva svjetlost i toplina također izazvati sekundarne učinke. Sunce uzrokuje biljke rasti, a to uzrokuje oštećenja stvari.
(1) What words refer to the sun?|(1) Koje riječi odnose se na suncu?
sun, solar, sol, daystar, our star|Sunce, sunce, sol, zvijezda danica, naša zvijezda
