Universe, creation|יקום, בריאה
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|השתמש תחום זה למילים כלליות המתייחסות ליקום הפיזי. שפות מסוימות ייתכן שאין לו מילה אחת ליקום וייתכן שיהיה צורך להשתמש בביטוי כמו &quot;גשם, אדמה, ודברים של השמים&quot; או &quot;שמים, ארץ, ומים&quot; או ביטוי תיאורים כמו &quot;כל מה שאתה יכול לראות הכל &#39;או&#39; שקיים &#39;.
(1) What words refer to everything we can see?|(1) מה מילות מתייחסים לכל מה שאנחנו יכולים לראות?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|יקום, בריאה, יקום, שמים וארץ, המקרוקוסמוס, כל מה שקיים
Sky|שמים
Use this domain for words related to the sky.|השתמש תחום זה למילים הקשורות לשמים.
(1) What words are used to refer to the sky?|(1) מה מילות משמשים כדי להתייחס לשמים?
sky, firmament, canopy, vault|שמים, רקיע, חופה, קמרון
(2) What words refer to the air around the earth?|(2) מה מילות מתייחסים לאוויר סביב כדור הארץ?
air, atmosphere, airspace, stratosphere, ozone layer|אוויר, אווירה, מרחב אווירי, סטרטוספרה, שכבת אוזון
(3) What words are used to refer to the place or area beyond the sky?|(3) מה מילות משמשים כדי להתייחס למקום או האזור שמעבר לשמים?
heaven, space, outer space, ether, void, solar system|שמים, חלל, חלל החיצון, אתר, מערכת חלל, שמש
(4) What words describe something in the sky or something that happens in the sky?|(4) מה מילות לתאר משהו בשמיים או משהו שקורים בשמים?
aerial, heavenly, atmospheric, stratospheric, celestial,|אווירי, שמיימי, באטמוספרה, בסטרטוספירה, שמיימי,
(5) What words describe the appearance of the sky?|(5) מה מילות לתאר את המראה של השמים?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|כחול, ברור, שחור (לילה),, שמים מעוננים, ענן מולא באופן מבריק, כהים, לילה, תחושה מבשרת רעות, סוערת, חושך, כוכב משובץ
(6) What words refer to the edge of the sky where it meets the ground?|(6) מה מילות מתייחסים לקצה השמים שם הוא פוגש את הקרקע?
horizon, skyline|אופק, קו רקיע
(7) What words refer to something in the sky?|(7) מה מילות מתייחסים למשהו בשמיים?
heavenly body, celestial body, luminary|גוף שמיימי, גוף שמיימי, מאור
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) מה מילות מתייחסים לאורות המופיעים בשמים הצפוניים (או דרומי)?
aurora borealis, northern lights|הזוהר צפוני, אורות הצפוניים
(9) What words refer to something being in the sky?|(9) מה מילות מתייחסים להיותו בשמיים משהו?
aloft, up in the sky, up in the air,|באוויר, למעלה בשמים, באוויר,
Sun|שמש
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|השתמש תחום זה למילים הקשורות לשמש. השמש עושה שלושה דברים בסיסיים. הוא נע, זה נותן אור, וזה נותן לי חום. שלוש פעולות אלה מעורבים במשמעויות של רוב המילים בתחום זה. מאז השמש נעה מתחת לאופק, מילות רבות מתייחסות אליו הגדרה או עולים. מאז השמש היא מעל העננים, מילות רבות מתייחסות אליו נעו מאחורי העננים והעננים חוסמים את האור שלו. האור וחום השמש גם לייצר השפעות משניות. השמש גורמת לצמחים לגדול, וזה גורם נזק לדברים.
(1) What words refer to the sun?|(1) מה מילות מתייחסים לשמש?
sun, solar, sol, daystar, our star|שמש, סול, אילת שחר, כוכב שמש,
