Universe, creation|الكون، وخلق
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|استخدام هذا المجال لكلمات عامة مشيرا إلى الكون المادي. بعض اللغات قد لا يكون لها كلمة واحدة للكون وقد تضطر إلى استخدام عبارة مثل &quot;المطر، والتربة، وأشياء من السماء&quot; أو &quot;السماء والأرض، والماء&quot; أو عبارة وصفية مثل &quot;كل ما تستطيع رؤية &quot;أو&quot; كل شيء موجود.
(1) What words refer to everything we can see?|(1) ما هي الكلمات التي تشير إلى كل ما يمكن أن نرى؟
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|الكون والخلق والكون، السماء والأرض، الكون، كل شيء موجود
Sky|سماء
Use this domain for words related to the sky.|استخدام هذا المجال لكلمات ذات علاقة ب السماء.
(1) What words are used to refer to the sky?|(1) ما هي الكلمات التي تستخدم للإشارة إلى السماء؟
sky, firmament, canopy, vault|السماء، السماء، المظلة، قبو
(2) What words refer to the air around the earth?|(2) ما هي الكلمات التي تشير إلى الهواء حول الأرض؟
air, atmosphere, airspace, stratosphere, ozone layer|الهواء والغلاف الجوي والمجال الجوي، الغلاف الجوي، وطبقة الأوزون
(3) What words are used to refer to the place or area beyond the sky?|(3) ما هي الكلمات التي تستخدم للإشارة إلى مكان أو منطقة ما وراء السماء؟
heaven, space, outer space, ether, void, solar system|السماء، الفضاء، والفضاء الخارجي، الأثير، باطل، والنظام الشمسي
(4) What words describe something in the sky or something that happens in the sky?|(4) ما هي الكلمات التي تصف شيء في السماء أو شيء ما يحدث في السماء؟
aerial, heavenly, atmospheric, stratospheric, celestial,|هوائي، السماوية، الغلاف الجوي، الستراتوسفير، السماوية،
(5) What words describe the appearance of the sky?|(5) ما هي الكلمات التي تصف مظهر من السماء؟
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|الأزرق، واضحة، أسود (ليلة)، غائم، سحابة شغلها، الرائعة، والظلام، السماء الليلية، نذير، عاصف، والظلام، النجوم
(6) What words refer to the edge of the sky where it meets the ground?|(6) ما هي الكلمات التي تشير إلى حافة السماء حيث يلتقي على أرض الواقع؟
horizon, skyline|الأفق، أفق
(7) What words refer to something in the sky?|(7) ما هي الكلمات التي تشير إلى شيء في السماء؟
heavenly body, celestial body, luminary|الجسم السماوي، جرم سماوي، جرم سماوي
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) ما هي الكلمات التي تشير إلى الأضواء التي تظهر في شمال (أو الجنوبي) السماء؟
aurora borealis, northern lights|الشفق القطبي والأضواء الشمالية
(9) What words refer to something being in the sky?|(9) ما هي الكلمات التي تشير إلى شيء يجري في السماء؟
aloft, up in the sky, up in the air,|عاليا، عاليا في السماء، في الهواء،
Sun|شمس
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|استخدام هذا المجال لكلمات ذات علاقة لأشعة الشمس. الشمس لا ثلاثة أشياء أساسية. وهو يتحرك، وأنه يعطي الضوء، وأنه يعطي الحرارة. وتشارك هذه الإجراءات الثلاثة في معاني معظم الكلمات في هذا المجال. منذ يتحرك الشمس تحت الأفق، العديد من الكلمات تشير إلى أنه وضع أو ارتفاع. منذ الشمس فوق الغيوم، والعديد من الكلمات تشير إلى انها تتحرك وراء الغيوم والسحب حجب الضوء. ضوء الشمس والحرارة تنتج أيضا الآثار الثانوية. الشمس يسبب النباتات في النمو، ويسبب الضرر للأشياء.
(1) What words refer to the sun?|(1) ما هي الكلمات التي تشير إلى الشمس؟
sun, solar, sol, daystar, our star|الشمس، والطاقة الشمسية، سول، نجمة الصباح، نجمنا
