Universe, creation|Universum, Schöpfung
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Verwenden Sie diese Domain für allgemeine Wörter, die sich auf das physikalische Universum. Einige Sprachen haben nicht ein einziges Wort für das Universum und müssen eventuell eine Formulierung wie &quot;regen, Boden, und die Dinge des Himmels&quot; oder &quot;Himmel, Land und Wasser&quot; oder einem beschreibenden Begriff wie &quot;alles, was Sie verwenden, sehen &quot;oder&quot; alles, was existiert.
(1) What words refer to everything we can see?|(1) Welche Worte beziehen sich auf alles, was wir sehen?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Universum, Schöpfung, kosmos, Himmel und Erde, Makrokosmos, alles, was existiert
Sky|Himmel
Use this domain for words related to the sky.|Verwenden Sie diese Domain für Worte in den Himmel zusammen.
(1) What words are used to refer to the sky?|(1) Was Wörter werden verwendet, um den Himmel beziehen?
sky, firmament, canopy, vault|Himmel, Firmament, Baldachin, Tresor
(2) What words refer to the air around the earth?|(2) Welche Worte beziehen sich auf die Luft um die Erde?
air, atmosphere, airspace, stratosphere, ozone layer|Luft, Atmosphäre, Luftraum, Stratosphäre, Ozonschicht
(3) What words are used to refer to the place or area beyond the sky?|(3) Welche Wörter werden verwendet, um an den Ort oder ein Gebiet jenseits des Himmels beziehen?
heaven, space, outer space, ether, void, solar system|Himmel, raum, weltraum, Ether, Leere, Sonnensystem
(4) What words describe something in the sky or something that happens in the sky?|(4) Welche Wörter beschreiben, etwas in den Himmel oder etwas, das in den Himmel kommt?
aerial, heavenly, atmospheric, stratospheric, celestial,|aerial, himmlisch, atmosphärisch, Stratosphäre, himmlisch,
(5) What words describe the appearance of the sky?|(5), was Worte beschreiben das Aussehen des Himmels?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blau, klar, schwarz (Nacht), bewölkt, Wolke erfüllt, brilliant, dunkel, Nachthimmel, Vorahnung, stürmisch, dunkel, mit Sternen übersät
(6) What words refer to the edge of the sky where it meets the ground?|(6), welche Worte beziehen sich auf den Rand des Himmels, wo er den Boden trifft?
horizon, skyline|Horizont, Skyline
(7) What words refer to something in the sky?|(7) Welche Worte beziehen sich auf etwas in den Himmel?
heavenly body, celestial body, luminary|Himmelskörper, Himmelskörper, Leuchte
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8), welche Worte beziehen sich auf die Lichter, die in der nördlichen (oder südlichen) Himmel erscheinen?
aurora borealis, northern lights|aurora borealis, Nordlichter
(9) What words refer to something being in the sky?|(9) Welche Worte beziehen sich auf etwas in den Himmel?
aloft, up in the sky, up in the air,|oben, in den Himmel, in der Luft,
Sun|Sonne
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Verwenden Sie diese Domain für Worte, um der Sonne stehen. Die Sonne hat drei grundlegende Dinge. Es bewegt sich, es Licht gibt, und es gibt Wärme. Diese drei Maßnahmen sind in den Bedeutungen der meisten der Wörter in dieser Domain. Da die Sonne bewegt sich unter dem Horizont, viele Worte beziehen sich auf ihn einstellen oder steigt. Da die Sonne über den Wolken, viele Worte beziehen sich auf sie bewegt sich hinter den Wolken und den Wolken blockieren sein Licht. Das Licht der Sonne und Wärme auch Nebenwirkungen. Die Sonne bewirkt, dass Pflanzen zu wachsen, und es Sachschäden verursacht.
(1) What words refer to the sun?|(1) Welche Worte beziehen sich auf die Sonne?
sun, solar, sol, daystar, our star|Sonne, Sonne, sol, daystar unsere star
