Universe, creation|Univers, la creació
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Utilitzeu aquest domini per paraules generals es refereixen a l&#39;univers físic. Alguns idiomes poden no tenir una sola paraula per a l&#39;univers i pot ser que hagi d&#39;utilitzar una frase com &#39;pluja, el sòl, i les coses del cel &quot;o&quot; el cel, la terra i l&#39;aigua &quot;o una frase descriptiva, com&quot; tot el que pugui veure &quot;o&quot; tot el que existeix &quot;.
(1) What words refer to everything we can see?|(1) Quines paraules es refereixen a tot el que podem veure?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|univers, la creació, el cosmos, el cel i la terra, macrocosmos, tot el que existeix
Sky|Cel
Use this domain for words related to the sky.|Utilitzeu aquest camp per paraules relacionades amb el cel.
(1) What words are used to refer to the sky?|(1) Quines paraules s&#39;utilitzen per referir-se al cel?
sky, firmament, canopy, vault|cel, firmament, canopy, volta
(2) What words refer to the air around the earth?|(2) Quines paraules es refereixen al fet que l&#39;aire al voltant de la Terra?
air, atmosphere, airspace, stratosphere, ozone layer|l&#39;aire, l&#39;atmosfera, l&#39;espai aeri, estratosfera, la capa d&#39;ozó
(3) What words are used to refer to the place or area beyond the sky?|(3) Quines paraules s&#39;utilitzen per referir-se al lloc o àrea més enllà del cel?
heaven, space, outer space, ether, void, solar system|cel, espai, espai exterior, èter, buit, sistema solar
(4) What words describe something in the sky or something that happens in the sky?|(4) Quines paraules descriuen alguna cosa al cel o alguna cosa que succeeix en el cel?
aerial, heavenly, atmospheric, stratospheric, celestial,|aèria, celestial, atmosfèric, estratosfèric, celestial,
(5) What words describe the appearance of the sky?|(5) Quines paraules descriuen l&#39;aspecte del cel?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blau, clar, negre (nit), ennuvolat, núvol plena, brillant, fosc cel nocturn, pressentiment, tempestuós, fosc, ple d&#39;estrelles
(6) What words refer to the edge of the sky where it meets the ground?|(6) Quines paraules es refereixen a la riba del cel on es troba amb el terra?
horizon, skyline|horitzó, horitzó
(7) What words refer to something in the sky?|(7) Quines paraules es refereixen a alguna cosa al cel?
heavenly body, celestial body, luminary|cos celeste, cos celeste, lluminària
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Quines paraules es refereixen a les llums que apareixen en el cel del nord (o sud)?
aurora borealis, northern lights|aurora boreal, aurora boreal
(9) What words refer to something being in the sky?|(9) Quines paraules es refereixen a alguna cosa que és al cel?
aloft, up in the sky, up in the air,|a la part alta, al cel, en l&#39;aire,
Sun|Sol
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Utilitzeu aquest camp per paraules relacionades amb el sol. El sol fa tres coses bàsiques. Es mou, dóna llum, i dóna calor. Aquestes tres accions estan involucrats en el significat de la majoria de les paraules en aquest domini. Atès que el sol es mou per sota de l&#39;horitzó, moltes paraules es refereixen a ella l&#39;establiment o en augment. Atès que el sol està per sobre dels núvols, moltes paraules es refereixen a ella es mou darrere dels núvols i els núvols que bloquegen la seva llum. La llum del sol i la calor també produeixen efectes secundaris. El sol fa que les plantes creixin, i causa danys a les coses.
(1) What words refer to the sun?|(1) Quines paraules es refereixen al sol?
sun, solar, sol, daystar, our star|sol, solar, sol, astre, la nostra estrella
