Universe, creation|Universe, създаване
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Използвайте този домейн за общи думи, отнасящи се до физическата вселена. Някои езици не могат да имат една-единствена дума за Вселената и може да се наложи използването на фраза като &quot;дъжд, почва, и неща от небето&quot; или &quot;небе, земя и вода&quot; или описателна фраза като &quot;всичко, което можете виж &quot;или&quot; всичко, което съществува. &quot;
(1) What words refer to everything we can see?|(1) Какво отнася изразът всичко можем да видим?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|Вселена, създаване, космос, небето и земята, макрокосмоса, всичко, което съществува
Sky|Небе
Use this domain for words related to the sky.|Използвайте този домейн думи, свързани с небето.
(1) What words are used to refer to the sky?|(1) Какви думи се използват за обозначаване на небето?
sky, firmament, canopy, vault|небе, простор, навес, трезор
(2) What words refer to the air around the earth?|(2) какви думи се отнасят за въздуха около земята?
air, atmosphere, airspace, stratosphere, ozone layer|въздух, атмосфера, въздушно пространство, стратосфера, озоновия слой
(3) What words are used to refer to the place or area beyond the sky?|(3) какви думи се използват за обозначаване на мястото или района отвъд небето?
heaven, space, outer space, ether, void, solar system|небето, космоса, космоса, етер, нищожен, слънчева система
(4) What words describe something in the sky or something that happens in the sky?|(4) Какви думи описват нещо в небето или нещо, което се случва в небето?
aerial, heavenly, atmospheric, stratospheric, celestial,|въздушно, небесен, атмосферно, стратосферата, небесно,
(5) What words describe the appearance of the sky?|(5) Какви думи описват появата на небето?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|синьо, ясен, черен (през нощта), облачно, облакът изпълни, брилянтен, тъмно, нощно небе, предчувствие, бурна, тъмна, звезда осеян
(6) What words refer to the edge of the sky where it meets the ground?|(6) Какви думи се отнасят до ръба на небето, където той отговаря на земята?
horizon, skyline|хоризонт, силуета
(7) What words refer to something in the sky?|(7) Какви думи се отнасят до нещо в небето?
heavenly body, celestial body, luminary|небесно тяло, небесно тяло, светило
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Какви думи се отнасят към светлините, които се появяват в северната (или Южна) небето?
aurora borealis, northern lights|Северно сияние, северно сияние
(9) What words refer to something being in the sky?|(9) Какви думи се отнасят до нещо е в небето?
aloft, up in the sky, up in the air,|по време на полета, в небето, във въздуха,
Sun|Слънце
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Използвайте този домейн думи, свързани с слънцето. Слънцето прави три основни неща. Той се движи, тя дава светлина, и го дава топлина. Тези три действия са включени в значението на повечето от думите в тази област. Тъй като слънцето се движи под хоризонта, много думи се отнасят до него определяне или нараства. Тъй като слънцето е над облаците, много думи се отнасят за преместването зад облаците и блокиращи светлината си облаците. Светлината и топлината на слънцето и вторични ефекти. Слънцето причинява растения да растат, и да го причинява увреждане на нещата.
(1) What words refer to the sun?|(1) Какви думи се отнасят до слънцето?
sun, solar, sol, daystar, our star|слънце, слънчева, Сол, Дейстар, нашата звезда
