Universe, creation|Universe, paglalang
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Gamita kini nga domain alang sa kinatibuk-ang mga pulong nagtumong sa pisikal nga uniberso. Ang ubang mga pinulongan tingali dili sa usa ka pulong alang sa uniberso ug makabaton sa sa paggamit sa usa ka hugpong sa mga pulong sama sa &#39;ulan, yuta, ug mga butang sa mga langit&#39; o &#39;langit, yuta, ug sa tubig&#39; o sa usa ka hugpong sa mga pulong nga naghubit sama sa &#39;tanan nga inyong mahimo tan-awa ang &#39;o&#39; sa tanang butang nga anaa &#39;.
(1) What words refer to everything we can see?|(1) Unsa nga mga pulong nagtumong sa tanang butang nga atong makita?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|uniberso, paglalang, uniberso, sa langit ug sa yuta, macrocosm, tanan nga butang nga anaa
Sky|Kalangitan
Use this domain for words related to the sky.|Gamita kini nga domain alang sa mga pulong nga may kalabutan ngadto sa langit.
(1) What words are used to refer to the sky?|(1) Unsang mga pulonga ang gigamit sa pagtumong sa langit?
sky, firmament, canopy, vault|langit, hawan, canopy, vault
(2) What words refer to the air around the earth?|(2) Unsa nga mga pulong nga nagtumong sa sa hangin sa palibot sa yuta?
air, atmosphere, airspace, stratosphere, ozone layer|hangin, atmospera, kawanangan, stratosphere, ozone layer
(3) What words are used to refer to the place or area beyond the sky?|(3) Unsa nga mga pulong ang gigamit sa pagtumong sa dapit o dapit sa unahan sa langit?
heaven, space, outer space, ether, void, solar system|sa langit, nga luna, gawas nga luna, o, nga walay kapuslanan, solar nga sistema
(4) What words describe something in the sky or something that happens in the sky?|(4) Unsa nga mga pulong naghulagway sa usa ka butang diha sa langit o sa usa ka butang nga mahitabo diha sa mga langit?
aerial, heavenly, atmospheric, stratospheric, celestial,|aerial, langitnon, sa atmospera, stratospheric, celestial,
(5) What words describe the appearance of the sky?|(5) Unsa nga mga pulong nga naghulagway sa mga dagway sa mga langit?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|sa azul, tin-aw, itom (gabii), madag-um, napuno sa panganod, hayag, ngitngit, sa gabii sa langit, sa peligrosong, sa bagyo, nga mangitngit, bitoon sa studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Unsa nga mga pulong nga nagtumong sa sa sulab sa langit diin kini magtigum sa yuta?
horizon, skyline|kapunawpunawan, kapanganuran
(7) What words refer to something in the sky?|(7) Unsa nga mga pulong nagtumong sa usa ka butang diha sa mga langit?
heavenly body, celestial body, luminary|langitnong lawas, celestial nga lawas, banwag
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Unsa nga mga pulong nga nagtumong sa sa mga suga nga makita sa amihanang (o habagatang) langit?
aurora borealis, northern lights|aurora borealis, amihanang mga suga
(9) What words refer to something being in the sky?|(9) Unsa nga mga pulong nagtumong sa usa ka butang nga anaa sa langit?
aloft, up in the sky, up in the air,|nga kahimtang sa ibabaw, sa mga langit, sa hangin,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Gamita kini nga domain alang sa mga pulong nga may kalabutan sa mga adlaw. Ang adlaw nga magabuhat sa tulo ka nag-unang mga butang. Kini nagalihok, kini naghatag sa kahayag, ug kini naghatag kainit. Kini nga tulo ka mga buhat nga nalambigit sa mga kahulugan sa kadaghanan sa mga pulong niini nga domain. Sukad sa adlaw nagalihok sa ubos sa kapunawpunawan, sa daghan nga mga pulong nga nagtumong sa niini sa paghimo o sa pagbangon. Tungod kay ang adlaw mao ang sa ibabaw sa mga panganod, sa daghan nga mga pulong nga nagtumong sa niini nagalihok sa luyo sa mga panganod ug sa mga panganod nga ali sa kahayag niini. Ang adlaw sa kahayag ug kainit usab og secondary epekto. Ang adlaw maoy hinungdan sa mga tanom sa pagtubo, ug kini maoy hinungdan sa kadaot sa mga butang.
(1) What words refer to the sun?|(1) Unsang mga pulonga nagtumong sa sa adlaw?
sun, solar, sol, daystar, our star|adlaw, solar, sol, bituon sa adlaw, ang atong bitoon sa
