Universe, creation|Evren, yaratılış
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Fiziksel evrenin atıfta genel bir ifadeyle, bu etki kullanın. Bazı diller evren için bir tek kelime olmayabilir ve bu tür yapabilirsiniz &#39;her şey gibi yağmur, toprak ve gökyüzü şeyler&#39; veya &#39;gökyüzü, toprak, su ve&#39; ya bir tanımlayıcı ifade olarak ifade kullanmak zorunda kalabilirsiniz var &#39;ya da&#39; her şeyi &#39;bakın.
(1) What words refer to everything we can see?|(1) biz her şeyi ne kelime bölümünde bulabilirsiniz görebilir?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|mevcut evren, oluşturma, evren, cennet ve yeryüzü, evren, her şeyi
Sky|Gökyüzü
Use this domain for words related to the sky.|Gökyüzüne ilgili kelimeleri bu etki kullanın.
(1) What words are used to refer to the sky?|(1) Ne kelimeler gökyüzüne başvurmak için kullanılır?
sky, firmament, canopy, vault|gökyüzü, sema, gölgelik, tonoz
(2) What words refer to the air around the earth?|(2) Ne kelimeler dünyanın etrafında havaya bakın?
air, atmosphere, airspace, stratosphere, ozone layer|hava, atmosfer, hava sahası, stratosfer, ozon tabakası
(3) What words are used to refer to the place or area beyond the sky?|(3) Ne kelimeler gökyüzünün ötesinde yere veya alana başvurmak için kullanılır?
heaven, space, outer space, ether, void, solar system|cennet, uzay, uzay, eter, boşluk, güneş sistemi
(4) What words describe something in the sky or something that happens in the sky?|(4) Ne kelimeler gökyüzünde olur gökyüzünde falan bir şey açıklamak?
aerial, heavenly, atmospheric, stratospheric, celestial,|göksel, göksel hava, atmosferik, stratosfer
(5) What words describe the appearance of the sky?|(5) Ne kelimeler gökyüzünün görünümünü tarif?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|mavi, açık, siyah (gece), bulutlu, bulut doldurdu, parlak, koyu, gece gökyüzü, önsezi, fırtınalı, karanlık, yıldız çivili
(6) What words refer to the edge of the sky where it meets the ground?|(6) Ne kelimeler zemin onu karşılayan gökyüzünün kenarına bakın?
horizon, skyline|ufuk, ufuk çizgisi
(7) What words refer to something in the sky?|(7) Ne kelimeler gökyüzünde bir şey ifade?
heavenly body, celestial body, luminary|Göksel vücut, gök cismi, armatür
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Ne kelimeler kuzey (veya güney) gökyüzünde görünen ışıklar bakın?
aurora borealis, northern lights|aurora borealis kuzey ışıkları
(9) What words refer to something being in the sky?|(9) Ne kelimeler gökyüzünde olmak bir şey ifade?
aloft, up in the sky, up in the air,|havada, yukarı gökyüzünde, havaya,
Sun|Güneş
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Güneşe ilgili kelimeleri bu etki kullanın. Güneş üç temel şeyler yapar. O ışık verir, hareket ve ısı verir. Bu üç işlemler bu alanda kelimelerin çoğu anlamları katılmaktadırlar. Güneş ufukta hareket yana, birçok kelime, sertleşme veya yükselen bakın. Güneş bulutların üstünde olduğundan, birçok kelime bulutlar ve ışık engelleme bulutların arkasında hareket ona bakın. Güneşin ısı ve ışık da ikincil etkiler üretmek. Güneş bitkileri büyümeye neden olur ve bu şeyler hasara neden olur.
(1) What words refer to the sun?|(1) Ne kelimeler güneşe bakınız?
sun, solar, sol, daystar, our star|güneş, güneş, sol, seher yıldızı, bizim yıldız
