Universe, creation|Universe, ustvarjanje
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Uporabite to domeno za splošne besede, ki se nanašajo na fizično vesolju. Nekateri jeziki ne sme imeti eno besedo za vesolje in morda morali uporabiti izraz, kot so &quot;dež, tla, in stvari na nebu&quot; ali &quot;neba, zemlje in vode&quot; ali opisne besedne zveze, kot so &quot;vse, kar lahko glej &quot;ali&quot; vse, kar obstaja &quot;.
(1) What words refer to everything we can see?|(1) Katere besede se nanašajo na vse, kar smo lahko videli?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|vesolje, ustvarjanje, cosmos, nebo in zemlja, makrokozmos, vse, kar obstaja
Sky|Sky
Use this domain for words related to the sky.|Uporabite to domeno besed, povezanih z neba.
(1) What words are used to refer to the sky?|(1) Katere besede se uporablja za sklicevanje na nebu?
sky, firmament, canopy, vault|sky, firmament, canopy, obok
(2) What words refer to the air around the earth?|(2) Katere besede se nanašajo na zrak okoli Zemlje?
air, atmosphere, airspace, stratosphere, ozone layer|zrak, ozračje, zračni prostor, stratosfera, ozonska plast
(3) What words are used to refer to the place or area beyond the sky?|(3) Katere besede se uporablja za sklicevanje na kraj ali območje zunaj na nebu?
heaven, space, outer space, ether, void, solar system|nebesa, prostor, vesolje, eter, nična, solarni sistem
(4) What words describe something in the sky or something that happens in the sky?|(4) Katere besede opisujejo nekaj na nebu, ali nekaj, kar se dogaja na nebu?
aerial, heavenly, atmospheric, stratospheric, celestial,|aerial, nebeški, atmosferska, stratosferski, celestial,
(5) What words describe the appearance of the sky?|(5) Katere besede opisujejo videz neba?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|modra, clear, črna (ponoči), oblačno, cloud napolnjena, briljantno, temno, nočno nebo, foreboding, nevihtno, posuto temno, zvezda
(6) What words refer to the edge of the sky where it meets the ground?|(6) Katere besede se nanašajo na rob neba, kjer se sreča tla?
horizon, skyline|obzorje, skyline
(7) What words refer to something in the sky?|(7) Katere besede se nanašajo na nekaj na nebu?
heavenly body, celestial body, luminary|Nebeško telo, nebesno telo, svetilo
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Katere besede se nanašajo na luči, ki se pojavljajo v severnem (ali južnem) nebu?
aurora borealis, northern lights|aurora borealis, severni sij
(9) What words refer to something being in the sky?|(9) Katere besede se nanašajo na nekaj, pri čemer na nebu?
aloft, up in the sky, up in the air,|Gor, gor v nebo, v zraku,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Uporabite to domeno za besede, povezane s soncem. Ne pa tri osnovne stvari. Premika se, daje svetlobo in daje toploto. Ti trije ukrepi so vključeni v pomenov večina besed na tem področju. Ker ne premika pod horizontom, veliko besed nanašajo na to nastavitev ali zemljo. Ker je sonce nad oblaki, veliko besed sklicujejo nanjo gibljejo za oblaki in oblaki blokirajo njeno svetlobo. Sončna svetloba in toplota proizvajajo tudi sekundarne učinke. Ne povzroča rast rastlin, in to povzroča škodo na stvareh.
(1) What words refer to the sun?|(1) Katere besede se nanašajo na soncu?
sun, solar, sol, daystar, our star|Sonce, sonce, sol, Daystar, naša zvezda
