Universe, creation|Ulimwengu, viumbe
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Matumizi ya uwanja huu kwa maneno ujumla akimaanisha ulimwengu wa kimwili. Baadhi lugha wanaweza kuwa na neno moja kwa ajili ya ulimwengu na wanaweza kuwa na kutumia maneno kama vile &#39;mvua, udongo, na mambo ya anga&#39; au &#39;angani, ardhi, na maji&#39; au maneno maelezo kama vile &#39;kila kitu unaweza kuona &#39;au&#39; kila kitu kilichopo.
(1) What words refer to everything we can see?|(1) Je, maneno rejea kila kitu tunaweza kuona?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|ulimwengu, viumbe, Cosmos, mbinguni na katika ardhi, macrocosm, kila kitu kilichopo
Sky|Anga
Use this domain for words related to the sky.|Matumizi ya uwanja huu kwa maneno kuhusiana na angani.
(1) What words are used to refer to the sky?|(1) Je, maneno haya hutumiwa kwa kutaja angani?
sky, firmament, canopy, vault|anga, anga, dari, kuba
(2) What words refer to the air around the earth?|(2) Je, maneno rejea hewa duniani dunia?
air, atmosphere, airspace, stratosphere, ozone layer|hewa, anga, airspace, stratosphere, ozoni
(3) What words are used to refer to the place or area beyond the sky?|(3) Je, maneno haya hutumiwa kwa kutaja nafasi au eneo zaidi ya angani?
heaven, space, outer space, ether, void, solar system|mbinguni, nafasi, anga za juu, ether, utupu, mfumo wa jua
(4) What words describe something in the sky or something that happens in the sky?|(4) Ni maneno gani kuelezea jambo la angani au kitu kinachotokea katika anga?
aerial, heavenly, atmospheric, stratospheric, celestial,|angani, mbinguni, anga, stratospheric, mbinguni,
(5) What words describe the appearance of the sky?|(5) Ni maneno gani kueleza kuangalia anga?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|bluu, wazi, mweusi (usiku), mawingu, wingu kujazwa, kipaji, na giza, anga la usiku, kutazamia, mawimbi, na giza, nyota studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Ni maneno gani kutaja makali ya anga ambapo hukutana ardhi?
horizon, skyline|upeo wa macho, skyline
(7) What words refer to something in the sky?|(7) Ni maneno gani kutaja kitu katika anga?
heavenly body, celestial body, luminary|mwili wa mbinguni, mwili miili ya mbinguni, luminary
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Ni maneno gani kutaja taa kwamba kuonekana katika kaskazini (au ya kusini) angani?
aurora borealis, northern lights|aurora borealis, taa ya kaskazini
(9) What words refer to something being in the sky?|(9) Je, maneno rejea na kitu kuwa angani?
aloft, up in the sky, up in the air,|juujuu, hadi angani, juu katika hewa,
Sun|Sun
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Matumizi ya uwanja huu kwa maneno kuhusiana na jua. jua anafanya mambo matatu ya msingi. Ni hatua, ili iwaangazie, na ni inatoa joto. Hatua hizi tatu ni kushiriki katika maana ya zaidi ya maneno ya uwanja huu. Tangu jua hatua chini ya upeo wa macho, maneno mengi rejea ni kuweka au kupanda. Tangu jua ni juu ya mawingu, maneno mengi rejea ni kusonga nyuma ya mawingu na mawingu kuzuia mwanga wake. mwanga wa jua na joto pia kuleta athari za sekondari. jua husababisha mimea kukua, na ni sababu uharibifu wa mambo.
(1) What words refer to the sun?|(1) Je, maneno rejea jua?
sun, solar, sol, daystar, our star|jua, nishati ya jua, sol, Daystar, nyota wetu
