Universe, creation|စကြာဝဠာ, ဖန်ဆင်းခြင်း
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ရုပ်ပိုင်းဆိုင်ရာဠာရည်ညွှန်းယေဘုယျစကားသည်ဤဒိုမိန်းကိုသုံးပါ။ တချို့ကဘာသာစကားများဠာသည်တစ်ခုတည်းစကားလုံးရှိနိုင်မည်မဟုတ်ပါနှင့်ထိုကဲ့သို့သော &#39;&#39; မိုးရွာရွာ, မြေဆီလွှာ, မိုဃ်းကောင်းကင်၏အမှုအရာ &#39;သို့မဟုတ်&#39; &#39;မိုဃ်းကောင်းကင်, မြေ, ရေ&#39; သို့မဟုတ်ထိုကဲ့သို့သောသင်လုပ်နိုင်အရာအားလုံး &#39;&#39; အဖြစ်ဖေါ်ပြထားသောစာပိုဒ်တိုများအဖြစ်ထားသောစာပိုဒ်တိုများအသုံးပြုရန်ရှိစေခြင်းငှါ &#39;&#39; တည်ရှိအရာအားလုံးကိုတွေ့မြင် &#39;သို့မဟုတ်&#39; &#39;။
(1) What words refer to everything we can see?|(1) အဘစကားကိုကျွန်တော်တို့တွေ့မြင်နိုင်သည်အရာအားလုံးကိုရည်ညွှန်း?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|စကြဝဠာ, ဖန်ဆင်းခြင်း, cosmos, ကောင်းကင်နှင့်မြေကြီး, macrocosm, တည်ရှိမှု့တွေအားလုံးကို
Sky|မိုးကောင်းကင်
Use this domain for words related to the sky.|မိုဃ်းကောင်းကင်နှင့်ဆက်စပ်သောစကားသည်ဤဒိုမိန်းကိုသုံးပါ။
(1) What words are used to refer to the sky?|(1) ဘယျစကားလုံးများကိုကောင်းကင်ယံကိုရည်ညွှန်းဖို့အသုံးပြုကြသလော
sky, firmament, canopy, vault|မိုဃ်းကောင်းကင်ကိုကြက်, တခဲနက်, Vault
(2) What words refer to the air around the earth?|(2) အဘစကားကိုမြေကြီးပေါ်မှာပတ်ဝန်းကျင်လေထုကိုရည်ညွှန်း?
air, atmosphere, airspace, stratosphere, ozone layer|လေ, လေထု, လေပိုင်နက်, stratosphere, အိုဇုန်းအလွှာ
(3) What words are used to refer to the place or area beyond the sky?|(3) ဘယျစကားလုံးများကိုမိုဃ်းကောင်းကင်ထက်ကျော်လွန်အရပျသို့မဟုတ်ဧရိယာကိုရည်ညွှန်းဖို့အသုံးပြုကြသလော
heaven, space, outer space, ether, void, solar system|ကောင်းကင်အာကာသ, ပြင်အာကာသ, ether, ပျက်ပြယ်, နေရောင်ခြည်စွမ်းအင်သုံးစနစ်က
(4) What words describe something in the sky or something that happens in the sky?|(4) ဘယျစကားလုံးများကိုမိုဃ်းကောင်းကင်သို့မဟုတ်ကောင်းကင်၌ဖြစ်ပျက်နေသောတစ်ခုခုအတွက်တစ်ခုခုဖော်ပြဖို့?
aerial, heavenly, atmospheric, stratospheric, celestial,|, ဝေဟင်ကောင်းကင်ဘုံရှင်, လေထု, stratospheric, ကောငျးကငျ
(5) What words describe the appearance of the sky?|(5) ဘယျစကားမိုဃ်းကောင်းကင်၏မျက်နှာကိုဖော်ပြဖို့?
