Universe, creation|Universi, krijimi
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|Përdoreni këtë fushë për fjalë të përgjithshme që i referohen universit fizik. Disa gjuhë nuk mund të ketë një fjalë të vetme për universin dhe mund të keni për të përdorur një frazë të tillë si &#39;shi, toka, dhe gjërat e qiellit&#39; ose &#39;qiell, tokë dhe ujë&#39; ose një frazë përshkruese të tilla si &#39;gjithçka që ju mund shikoni &#39;ose&#39; çdo gjë që ekziston &quot;.
(1) What words refer to everything we can see?|(1) Cilat fjalë i referohen për çdo gjë që ne mund të shohim?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|universit, krijimi, kozmosi, qielli dhe toka, gjithësi, çdo gjë që ekziston
Sky|Qiell
Use this domain for words related to the sky.|Përdoreni këtë fushë për fjalët që kanë të bëjnë në qiell.
(1) What words are used to refer to the sky?|(1) Cilat fjalë janë përdorur për t&#39;iu referuar në qiell?
sky, firmament, canopy, vault|qielli, kupa qiellore, tendë, qemer
(2) What words refer to the air around the earth?|(2) Çfarë fjalë i referohen ajër përreth tokës?
air, atmosphere, airspace, stratosphere, ozone layer|ajrit, atmosfera, hapësirës ajrore, stratosferë, shtresa e ozonit
(3) What words are used to refer to the place or area beyond the sky?|(3) Cilat fjalë janë përdorur për t&#39;iu referuar në vend ose zonë përtej qiellit?
heaven, space, outer space, ether, void, solar system|qielli, hapësira, hapësira e jashtme, eter,, sistemi diellor i pavlefshëm
(4) What words describe something in the sky or something that happens in the sky?|(4) Cilat fjalë përshkruajnë diçka në qiell apo diçka që ndodh në qiell?
aerial, heavenly, atmospheric, stratospheric, celestial,|ajrore, qiellor, atmosferike, stratosferike, qiellor,
(5) What words describe the appearance of the sky?|(5) Cilat fjalë përshkruajnë pamjen e qiellit?
blue, clear, black (night), cloudy, cloud filled, brilliant, dark, night sky, foreboding, stormy, dark, star studded|blu, e qartë, e zezë (natën), me re, reja e mbushi, e shkëlqyer, të errët, qielli i natës, parandjenjë, stuhishme, të errët, yll studded
(6) What words refer to the edge of the sky where it meets the ground?|(6) Cilat fjalë i referohen buzë të qiellit, ku ajo i plotëson terren?
horizon, skyline|horizont, Skyline
(7) What words refer to something in the sky?|(7) Cilat fjalë i referohen diçka në qiell?
heavenly body, celestial body, luminary|Trupi qiellor, trup qiellor, ndriçues
(8) What words refer to the lights that appear in the northern (or southern) sky?|(8) Cilat fjalë i referohen dritave që shfaqen në veri (apo jugore) qielli e?
aurora borealis, northern lights|aurora borealis, dritat e veriut
(9) What words refer to something being in the sky?|(9) Cilat fjalë i referohen diçka që gjenden në qiell?
aloft, up in the sky, up in the air,|lart, deri në qiell, deri në ajër,
Sun|Diell
Use this domain for words related to the sun. The sun does three basic things. It moves, it gives light, and it gives heat. These three actions are involved in the meanings of most of the words in this domain. Since the sun moves below the horizon, many words refer to it setting or rising. Since the sun is above the clouds, many words refer to it moving behind the clouds and the clouds blocking its light. The sun's light and heat also produce secondary effects. The sun causes plants to grow, and it causes damage to things.|Përdoreni këtë fushë për fjalët që lidhen me diell. Dielli ka tri gjëra themelore. Ajo lëviz, ajo i jep dritë, dhe kjo i jep nxehtësi. Këto tre veprime janë të përfshirë në kuptimet e shumica e fjalëve në këtë fushë. Që dielli lëviz nën horizont, shumë fjalë i referohen atë vendosjen ose në rritje. Që nga dielli është mbi retë, shumë fjalë i referohen asaj lëvizur prapa retë dhe retë bllokuar dritën e saj. Drita e diellit dhe ngrohjes gjithashtu prodhojnë efekte dytësore. Dielli shkakton bimët të rriten, dhe kjo shkakton dëme të gjëra.
(1) What words refer to the sun?|(1) Cilat fjalë i referohen diellit?
sun, solar, sol, daystar, our star|dielli, diellor, sol, Diell, ylli ynë
