Universe, creation|ਸ੍ਰਿਸ਼ਟੀ, ਸ੍ਰਿਸ਼ਟੀ
Use this domain for general words referring to the physical universe. Some languages may not have a single word for the universe and may have to use a phrase such as 'rain, soil, and things of the sky' or 'sky, land, and water' or a descriptive phrase such as 'everything you can see' or 'everything that exists'.|ਬ੍ਰਹਿਮੰਡ ਦੀ ਗੱਲ ਜਨਰਲ ਸ਼ਬਦ ਇਸ ਡੋਮੇਨ ਵਰਤੋ. ਕੁਝ ਭਾਸ਼ਾ ਬ੍ਰਹਿਮੰਡ ਦੇ ਲਈ ਇਕ ਵੀ ਸ਼ਬਦ ਦਾ ਹੈ, ਨਾ ਹੋ ਸਕਦਾ ਹੈ ਅਤੇ ਅਜਿਹੇ ਅਜਿਹੇ ਤੁਹਾਨੂੰ ਹੋ ਸਕਦਾ ਹੈ &#39;&#39; ਹਰ ਚੀਜ਼ ਦੇ ਤੌਰ &#39;&#39; ਬਾਰਿਸ਼, ਮਿੱਟੀ, ਅਤੇ ਅਸਮਾਨ ਦੇ ਕੁਝ &#39;ਜ&#39; ਅਸਮਾਨ, ਜ਼ਮੀਨ, ਅਤੇ ਪਾਣੀ &#39;ਜ ਜਾਣਕਾਰੀ ਵਾਕੰਸ਼ ਦੇ ਤੌਰ ਤੇ ਇੱਕ ਸ਼ਬਦ ਵਰਤਣ ਲਈ ਹੋ ਸਕਦਾ ਹੈ ਮੌਜੂਦ ਹੈ, ਜੋ ਕਿ &#39;ਜ&#39; ਸਭ ਕੁਝ &#39;ਵੇਖੋ.
(1) What words refer to everything we can see?|(1) ਸਾਨੂੰ ਸਭ ਕੁਝ ਕਰਨ ਲਈ ਕਿਹੜੇ ਸ਼ਬਦ ਦੀ ਜਸਿਾਰਸ਼ ਦੇਖ ਸਕਦਾ ਹੈ?
universe, creation, cosmos, heaven and earth, macrocosm, everything that exists|ਮੌਜੂਦ ਹੈ, ਜੋ ਕਿ ਬ੍ਰਹਿਮੰਡ, ਸ੍ਰਿਸ਼ਟੀ, ਬ੍ਰਹਿਮੰਡ, ਸਵਰਗ ਅਤੇ ਧਰਤੀ ਦੇ, macrocosm, ਹਰ ਚੀਜ਼
Sky|Sky
Use this domain for words related to the sky.|ਅਸਮਾਨ ਸਬੰਧਤ ਸ਼ਬਦ ਲਈ ਇਸ ਡੋਮੇਨ ਵਰਤੋ.
(1) What words are used to refer to the sky?|(1) ਕੀ ਸ਼ਬਦ ਅਸਮਾਨ ਨੂੰ ਦਰਸਾਉਣ ਲਈ ਵਰਤੇ ਗਏ ਹਨ?
sky, firmament, canopy, vault|ਅਸਮਾਨ, firmament, ਗੱਡਣੀ, ਵਾਲਟ
(2) What words refer to the air around the earth?|(2) ਕਿਹੜੇ ਸ਼ਬਦ ਨੂੰ ਧਰਤੀ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਹਵਾ ਵੇਖੋ?
air, atmosphere, airspace, stratosphere, ozone layer|ਹਵਾ, ਮਾਹੌਲ, ਹਵਾਈ ਖੇਤਰ, stratosphere, ਓਜ਼ੋਨ ਪਰਤ
(3) What words are used to refer to the place or area beyond the sky?|(3) ਕਿਹੜੇ ਸ਼ਬਦ ਅਸਮਾਨ ਪਰੇ ਜਗ੍ਹਾ ਜ ਖੇਤਰ ਨੂੰ ਦਰਸਾਉਣ ਲਈ ਵਰਤਿਆ ਗਿਆ ਹੈ?
heaven, space, outer space, ether, void, solar system|ਸਵਰਗ, ਸਪੇਸ, ਬਾਹਰੀ ਜਗ੍ਹਾ, ਅਸਮਾਨ, ਬੇਕਾਰ, ਸੂਰਜੀ ਸਿਸਟਮ
(4) What words describe something in the sky or something that happens in the sky?|(4) ਕਿਹੜੇ ਸ਼ਬਦ ਅਕਾਸ਼ ਵਿੱਚ ਵਾਪਰਦਾ ਹੈ, ਜੋ ਕਿ ਅਸਮਾਨ ਜ ਕੋਈ ਚੀਜ਼ ਵਿਚ ਕੋਈ ਚੀਜ਼ ਦਾ ਵਰਣਨ?
aerial, heavenly, atmospheric, stratospheric, celestial,|, ਸਵਰਗੀ,, ਏਰੀਅਲ ਸਵਰਗੀ, ਹਵਾ, stratospheric
(5) What words describe the appearance of the sky?|(5) ਕਿਹੜੇ ਸ਼ਬਦ ਅਕਾਸ਼ ਦੇ ਦਿੱਖ ਦਾ ਵਰਣਨ?
